Location,Latitude (decimal),Longitude (decimal),Year of issue,Diplomas,Shire,Donated in royal diploma at (location),Prom Lat,Prom Lon,Latitude (programmatic),Longitude (programmatic),Certainty,Sources
Enford,,,934,S 427,Wiltshire,Frome,51.2294852,-2.3198467,,,,
Twickenham,,,948,S 537,Middlesex,Gadshill,52.2698215,-1.545813,,,,
Aston in Wellington,,,975,S 802,Shropshire,Glastonbury,51.14804,-2.716577,,,,
Between the Tyburn and the Fleet,,,959,S 670,Middlesex,Glastonbury,51.14804,-2.716577,,,,
Rimpton,,,956,S 571,Somerset,Glastonbury,51.14804,-2.716577,,,,
Blackwell in Tredington,,,963,S 731,Worcestershire,Gloucester,51.8653705,-2.2458192,,,,
Blockley,,,963,S 731,Gloucestershire,Gloucester,51.8653705,-2.2458192,,,,
Bredon,,,963,S 731,Worcestershire,Gloucester,51.8653705,-2.2458192,,,,
Cropthorne,,,963,S 731,Worcestershire,Gloucester,51.8653705,-2.2458192,,,,
Daylesford,,,"949, 963",S 731,Gloucestershire,Gloucester,51.8653705,-2.2458192,,,,
Dorn in Batsford,,,963,S 731,Gloucestershire,Gloucester,51.8653705,-2.2458192,,,,
Evenlode,,,"963, 1051",S 731,Gloucestershire,Gloucester,51.8653705,-2.2458192,,,,
Grimley,,,963,S 731,Worcestershire,Gloucester,51.8653705,-2.2458192,,,,
Hallow,,,963,S 731,Worcestershire,Gloucester,51.8653705,-2.2458192,,,,
Harvington,,,963,S 731,Worcestershire,Gloucester,51.8653705,-2.2458192,,,,
Icomb,,,963,S 731,Gloucestershire,Gloucester,51.8653705,-2.2458192,,,,
Knightwick,,,963,S 731,Worcestershire,Gloucester,51.8653705,-2.2458192,,,,
Little Witley,,,963,S 731,Worcestershire,Gloucester,51.8653705,-2.2458192,,,,
Mitton in Bredon,,,963,S 731,Worcestershire,Gloucester,51.8653705,-2.2458192,,,,
Northwick in Blockley,,,963,S 731,Gloucestershire,Gloucester,51.8653705,-2.2458192,,,,
Overbury,,,963,S 731,Worcestershire,Gloucester,51.8653705,-2.2458192,,,,
Pendock,,,963,S 731,Worcestershire,Gloucester,51.8653705,-2.2458192,,,,
Sedgeberrow,,,963,S 731,Worcestershire,Gloucester,51.8653705,-2.2458192,,,,
Shipston-on-Stour,,,963,S 731,Warwickshire,Gloucester,51.8653705,-2.2458192,,,,
Teddington,,,963,S 731,Gloucestershire,Gloucester,51.8653705,-2.2458192,,,,
Tredington,,,963,S 731,Warwickshire,Gloucester,51.8653705,-2.2458192,,,,
Cowley,,,1004,S 909,Oxfordshire,Headington,51.7601673,-1.2109282,,,,
Cutslow,,,1004,S 909,Oxfordshire,Headington,51.7601673,-1.2109282,,,,
Headington,,,1004,S 909,Oxfordshire,Headington,51.7601673,-1.2109282,,,,
Upper Winchendon,,,1004,S 909,Buckinghamshire,Headington,51.7601673,-1.2109282,,,,
Whitehill in Tackley,,,1004,S 909,Oxfordshire,Headington,51.7601673,-1.2109282,,,,
Albury,,,933,S 420,Surrey,Kingston-on-Thames,51.674265,-1.2825865,,,,
Banstead,,,933,S 420,Surrey,Kingston-on-Thames,51.674265,-1.2825865,,,,
Beddington,,,933,S 420,Surrey,Kingston-on-Thames,51.674265,-1.2825865,,,,
Bisley,,,933,S 420,Surrey,Kingston-on-Thames,51.674265,-1.2825865,,,,
Bookham,,,"933, 947, 967, 1051",S 420,Surrey,Kingston-on-Thames,51.674265,-1.2825865,,,,
Bosanketh,,,925,S 450,Cornwall,Kingston-on-Thames,51.674265,-1.2825865,,,,
Bosliven,,,925,S 450,Cornwall,Kingston-on-Thames,51.674265,-1.2825865,,,,
Botilwoelon,,,925,S 450,Cornwall,Kingston-on-Thames,51.674265,-1.2825865,,,,
Burnewhall,,,925,S 450,Cornwall,Kingston-on-Thames,51.674265,-1.2825865,,,,
Byfleet,,,933,S 420,Surrey,Kingston-on-Thames,51.674265,-1.2825865,,,,
Carshalton (Æuueltone),,,933,S 420,Surrey,Kingston-on-Thames,51.674265,-1.2825865,,,,
Cealuadune (Chaldon),,,927,S 420,Surrey,Kingston-on-Thames,51.674265,-1.2825865,,,,
Cheam,,,928,S 420,Surrey,Kingston-on-Thames,51.674265,-1.2825865,,,,
Chertsey,,,929,S 420,Surrey,Kingston-on-Thames,51.674265,-1.2825865,,,,
Chipstead,,,930,S 420,Surrey,Kingston-on-Thames,51.674265,-1.2825865,,,,
Chobham,,,931,S 420,Surrey,Kingston-on-Thames,51.674265,-1.2825865,,,,
Cobham,,,932,S 420,Surrey,Kingston-on-Thames,51.674265,-1.2825865,,,,
Coulsdon,,,933,S 420,Surrey,Kingston-on-Thames,51.674265,-1.2825865,,,,
Cuddington,,,933,S 420,Surrey,Kingston-on-Thames,51.674265,-1.2825865,,,,
Dritham,,,933,S 420,Surrey,Kingston-on-Thames,51.674265,-1.2825865,,,,
East Clandon,,,933,S 420,Surrey,Kingston-on-Thames,51.674265,-1.2825865,,,,
Effingham,,,933,S 420,Surrey,Kingston-on-Thames,51.674265,-1.2825865,,,,
Egham,,,933,S 420,Surrey,Kingston-on-Thames,51.674265,-1.2825865,,,,
Epsom,,,933,S 420,Surrey,Kingston-on-Thames,51.674265,-1.2825865,,,,
Folkestone,,,"927, 1035, 1051","S 398, S 981, S 1047",Kent,Kingston-on-Thames,51.674265,-1.2825865,,,,
