Object|Type|Class|Appears_in
Actum est hoc in loco qui dicitur Berkamystede, indiccione nona, anno regni nostri .v., in mense Februarii.|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0017.html
anno regni mei .vi., secunda feria Aprilis|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0018.html
Actum die .vi. idus Aprilis, anno regni mei .viii., indictione .xii.|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0020.html
Anno ab incarnatione domini . dcc . xvi . Indictione . xiii . Anno primo regni regis Æþelbaldi Merciorum .|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0021.html
[Actum est] die vicesima Februarii mensis . anno regni nostri septimo . Indic[tione q]uinta decima|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0023.html
Anno regni mei tertio.|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0026.html
anno primo regni nostri, die .viii. kalendarum Augusti, in ciuitate Dorouerni|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0028.html
anno secundo regni nostri|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0029.html
Anno Incarnationis Dominicae . dcccv . nostri regni concessi a Deo . v . Indictione xiiii .|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0039.html
octabo anno regni mei|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0040.html
Gesta sunt hæc anno dominicæ incarnationis dcco . lvio . regni Offan regis Merciorum iiius . annus .|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0057.html
anno ætatis regis Egfridi quadragesimo , regni vero ejus decimo quarto .|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0066.html
Sancitum est hoc privilegium Anno dominicæ Incarnationis Sexcentesimo . Sexagesimo quarto . Uulferi Regis septimo . Deusdedit Nono . quod nullius insana et punienda cupiditas violet.|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0068.html
anno domini . dc. lxxx . meique regni . vi .|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0072.html
anno regni mei tertio|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0081.html
anno regni mei primo|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0083.html
Actum est die .iiii. kalendarum Nouembris, anno .i. regni mei, indictione .xv.|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0086.html
Actum est die .iiii. kalendarum Nouembris, anno .xxii. regni nostri|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0087.html
actum mense septembrio die indictionis, ii, anno regni nostri xvii|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0088.html
anno vero dominicæ incarnationis dccxlii . Indictione . x . et regni Æðelbaldi regis Merciorum . xxvii .|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0090.html
Huius scedulæ scriptio dominicæ incarnationis anno . dccxlviiii . indictione secunda in loco celebre cujus vocabulum est Godmundeslaech . xxxiii . anno Ædelbaldi regis peracta est|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0092.html
Anno incarnationis dominicæ . dcc . lxxx . indictione . iii . regni mei anno . xx . iii . mense Septembri . die quo passio Thebaidæ legionis a fidelibus Dei famulis celebratur .|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0118.html
Anno ab incarnatione domini . dcc . lxxxiiii o . et regni mei . xxvii o .|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0122.html
fif hundred wintra 7 nigan 7 hundeahtatig wintra fram Cristes gebyrtide . Offa kyning on þam an and þrittigan geare his kynedomes|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0126.html
in . xxxii . anno regni sui|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0126.html
Anno dominicæ incarnationis . dcc . xc. Indictione xiii . Anno namque regni mei . xxxiii . cum his testibus , secundo die pascæ, pridiae idus Aprilis|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0133.html
regni mei a Deo concessi .xxxv.|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0134.html
anno dominicæ incarnacionis .dccxciii. indiccione .iii. anno vero Offan regis Merciorum .xxxvi.|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0136.html
Anno [ab] incarnatione Christi . dcc . xc o . iiii . regni Offani . xxxvii o . anno .|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0137.html
anno dominicæ incarnacionis .dccxcv. Indictione .v. et regni Offanis .xxxv. sub .iiii. nonas Maias .|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0138.html
anno dominice incarnacionis .dccxcv. et regni regis Offanis .xxxv. indiccione .v. sub .iiii. nonas . Maias .|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0138.html
anno primo regni mei|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0140.html
Anno dominice incarnacionis septingentesimo nonagesimo sexto . indiccione quarta . primo vero anno regni nostri|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0150.html
anno dominice incarnacionis . dcc . xcvi . indiccione . iiii . primo autem anno regni nobis|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0151.html
anno secundo imperii nostri|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0153.html
anno dominicae incarnationis . dcc o. xc o. viiii o. in vicu regio æt Tome worðige . qui est tertius annus inperii nostri indictio[ne] . vero . vii .|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0155.html
Actum est xvi . kalendus agusti indictione vii . anno regni nostri . iii .|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0156.html
anno . v o . imperii nostri|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0157.html
Anno dominice incarnacionis .dccci., regni uero Coenuulfi regis Merciorum anno .v.|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0158.html
Actum est anno aduentus Domini .dccciiii., indictione .xii. et regni regis Coeneuulfi anno .viii.|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0159.html
Anno vero dominicæ incarnationi . dccc oviii o . indict' . xv a . et regni mei a Deo concessi . xii o .|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0163.html
Anno dominice incarnationis .dcccxi., Cenulfi uero regis Merciorum anno .xix.|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0166.html
Anno vero incarnationis ejusdem salvatoris mundi domini nostri Jhesu Christi . dccc o . xi o . indictione autem . iiii . Imperii vero nostri a Deo dato anno . xvi . die . vero . v . Id . Nov .|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0167.html
Anno autem incarnationis ejusdem domini salvatoris mundi Jhesu Christi . dccc o . xi o . indictione vero . iiii a . Porro quoque imperii piissimi regis Merciorum Coenu'u'lfi anno . xv o . praesulatus etiam Uulfredi archipontificis anno. vi o . prima kalendarum die augustarum|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0168.html
Anno quoque incarnationis Dei et salvatoris mundi . dccc o . xii o . indictione . v . Regni quoque gloriosissimi Merciorum regis Coenuulfi anno . xvi o . Præsulatus etiam anno Uulfredi archiepiscopi . vii o .|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0169.html
Anno .dccc.xiiii. indictione .vii. in vico celeberrimo qui vocatur Tomoworðig . die . vii o . kl' Januarii . regni autem nostri a Deo concessi .xviii. anno .|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0172.html
anno dominice incarnationis dcccxiiii . regni vero nostri a Deo concessi xviii .|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0173.html
anno dominicæ incarnationis . dccc o . xv o . Indictione . vii a . regni siquidem nostri . xviiii o . anno . In vico regis qui dicitur Uuicbold . die . xiiii o . Kl' apriles .|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0178.html
anno dominicæ incarnationis . dccc . xvi . indictione nona ; regni vero nostri a Deo concessi . xx o .|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0179.html
anno dominice incarnationis dcccxvi indictione namque nona regni vero nostri a Deo concessi xx o .|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0180.html
anno dominicæ incarnationis . dccc . xvii . indictione namque . x . regni vero nostri a Deo concessi . xxi .|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0181.html
anno dominicæ incarnationis . dccc o . xvii o . indictione vero . x ma . Porro autem primo et vicesimo anno regni nostri .|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0182.html
Anno uero dominice incarnationis .dcccxxi., indictione .xiiii. Ego Coenulfus rex Merciorum ab eodem Deo et Domino nostro populis et tribubus preordinatus in regem, anno imperii nostri .xxv.|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0183.html
anno dominice incarnationis .dcccxxi., regni autem mei anno .xi.|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0184.html
anno primo secundi regni mei|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0188.html
anno dominicae incarnationis . dccc o . xxx o . vi o , indictione vero . xiiii o regni autem nostri a Deo concessi . vii o .|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0190.html
anno dominice incarnationis . dcccxl . Indictione vero . iii . regni autem ejusdem Beorhtwulfi regis . ii o . anno .|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0191.html
in natali domini æt Tomanworðie . istis testibus confirmata . anno domini . dccc . xli . regis præfati . iii . anno . indictione vero . iii .|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0196.html
anno . xiii . regni mei|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0201.html
die autem in . viii . K'l agustus quo missa beati Jacobi apostoli celebratur . Anno ab incarnatione Christi . dccc . lxiiii . indictione . xii . Burhrede rege regnante . xiii . anno .|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0210.html
Anno dominicæ incarnationis . dccclxix . indictione vero . ii a . Burgredi autem regis regno . xvii o .|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0214.html
anno dominice incarnationis . dclxxi|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0228.html
"Anno dominicæ incarnationis
.dcccxxvi. Indictione .iiii. anno Ecgberhti regis .xxiiii."|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0272.html
"Anno dominicæ
incarnationis . dcccxxvi . Indictione . iiii . Anno decimo regni sui
."|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0274.html
"Anno dominicæ .
incarnationis . d.ccc.xxvi . indictione . iiii . Anno Egbert . regis
. xxiiii . ducatus sui anno . xiii ."|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0275.html
"Anno
dominicæ incarnationis . dcccxxvi . Indictione . iiii . Anno
Ecgberti regis . xxiiii . Ducatus sui . Anno . xiiii ."|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0276.html
"in Pascha in
Dorchecestre, et posterea uice eandem donationem liberaliter in
Natali confirmauimus, anno imperii nostri .xxxiiii."|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0278.html
"Anno ab incarnatione domini .dcccxxxix. primo videlicet anno regni
Æðelwulfi regis"|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0281.html
"Anno dominicæ incarnationis . dcccc . xxiiii .
indictione . ii . Anno Ecgberti regis . xxiii ."|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0283.html
Dominicæ Incarnationis anno octingentesimo quinquagesimo septimo , die undecimo Nonas Novembris indictione septima . Anno vero regni mei decimo nono|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0318.html
anno ab incarnatione Domini octingesimo septuagesimo secundo et anno regni mei septimo.|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s0343a.html
anno xiiiio regni sui|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s1168.html
Actum die .xi. Iulii mensis, anno .xxxiii. regni regis Wihtredi, indictione .vii.|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s1180.html
Actum dominicæ incarnationis anno 795 . anno quo cæpit Offa Rex regnare 31 .|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s1186.html
Secundo autem anno regni Cenulfi|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s1258.html
anno dominicæ incarnationis . dccc . xi . indictione enim . iiiia . imperii autem Coenuulfi regis . xv . anno praesulatus autem Wulfredi archiepiscopi anno . vi . die autem undecimo k'l mai' .|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s1264.html
anno dominice incarnationis .dcccxliiii., indiccione uero .vi., regni autem regis Bertulfi .iiii. anno|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s1271.html
Anno dominici incarnationis . dcco . lxxxo . viiiio . indictione vero . xiia . qui est annus . xxxi . regni Offan strenuissimi Merciorum regis|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s1430.html
Anno dominicæ incarnationis . dccco . iiio . indictione xia . vo . qui est annus . vii . regni Cenwulfi pii regis Merciorum .|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s1431.html
Anno vero ab incarnatione domini nostri Jhesu Christi . dccco . xxiiiio . Indictione autem . ii . regnante Beornuulfo rege Merciorum|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s1433.html
Anno vero . dominicae incarnationis . dcccoxxiiiio . indictione . ii . Congregatum est synodus in loco celebri ubi nominatur aet Clofeshoum . praesidenti autem Beornuulfo regi Merciorum . anno . ii . regni ejus . atque Uulfredo archiepiscopo anno . xviiiio .|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s1434.html
Anno ab incarnacione Christi .dcccxxv., indictione .iii., anno .ii. regni Beornulfi regis Merciorum|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s1435.html
Anno vero dominicae incarnationis . dcccxxva . indictione . iiia . de diversis Saxoniae partibus congregatum est synodale concilium in loco præclaro quæ nominatur aet Clofeshoum . praesidente autem huic venerabili concilio Uulfredo archiepiscopo . anno . xxo . episcopatus sui . Seu etiam Beornuulfo regi Merciorum . anno . iiia . regni ejus .|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s1436.html
Anno ab incarnatione Christi .dcccxxxviiii. indictione .ii. primo videlicet anno regni Eðeluulfi regis|Regnal dating|Dating clause|https://aschart.kcl.ac.uk/charters/s1438.html
