Location,Latitude (decimal),Longitude (decimal),Year of issue,Diplomas,Shire,Donated in royal diploma at (location),Lat (comp.),Lon (comp.),Predicted accuracy,Notes,Prom Lat,Prom Lon,Estate Lat Fallback,Estate Lon Fallback,Distance,Distance numeric
Chelworth in Crudwell,"51.64647480524282","-2.044745897530469","885",S 356,Wiltshire,Malmesbury,,,Not found,,"51.58447","-2.0982042","51.64647480524282","-2.044745897530469","7.829563476123439",
(West) Meon,,,"932",S 417,Hampshire,Milton,"51.0111638","-1.0839794",Shire match,,"52.2422961","0.1604726","51.0111638","-1.0839794","161.8234487347455",
Stanton St Bernard,,,"903",S 368,Wiltshire,Milton,"51.3649969","-1.8630506",Shire match,,"52.2422961","0.1604726","51.3649969","-1.8630506","170.31368795112743",
Amounderness,,,"934",S 407,Lancashire,Nottingham,"53.8100187","-2.7238423",Shire match,,"52.9534193","-1.1496461","53.8100187","-2.7238423","141.6330292628518",
Aston (? Aston Sutton),,,"958",S 667,Cheshire,Penkridge,"53.3094911","-2.6883742",Shire match,,"52.7246633","-2.1127563","53.3094911","-2.6883742","75.68394023724123",
Barrow (? Great Barrow),,,"958",S 667,Cheshire,Penkridge,"53.2094616","-2.7957028",Shire match,,"52.7246633","-2.1127563","53.2094616","-2.7957028","70.8248010365204",
Cheavely,"53.14981449380751","-2.8680911732311","958",S 667,Cheshire,Penkridge,,,Not found,Placed at Cheavely Hall Farm,"52.7246633","-2.1127563","53.14981449380751","-2.8680911732311","69.4081818758332",
Hoseley,"53.079220098143736","-2.943946320980666","958",S 667,Cheshire,Penkridge,,,Not found,"Quite unsure, placed at Hoseley Bank Farm","52.7246633","-2.1127563","53.079220098143736","-2.943946320980666","68.44640513890167",
Huntington,,,"958",S 667,Cheshire,Penkridge,"53.1634849","-2.8648306",Shire match,,"52.7246633","-2.1127563","53.1634849","-2.8648306","70.29042279566282",
Upton,,,"958",S 667,Cheshire,Penkridge,"53.2116132","-2.8856715",Shire match,,"52.7246633","-2.1127563","53.2116132","-2.8856715","75.05443305036252",
Hypeles eald land (Treable in Cheriton Bishop),"50.72194187680274","-3.8148649600568194","976",S 830,Devonshire,Puddletown,,,Not found,"Quite unsure, placed at the end of Treable Lane","50.7489205","-2.3468411","50.72194187680274","-3.8148649600568194","103.67856087654091",
Caughley in Barrow,"52.60199972920518","-2.490570732760893","901",S 221,Shropshire,Shrewsbury,,,Not found,"Quite unsure, placed between Caughley Close and Church of St Giles, Barrow","52.707755","-2.7540658","52.60199972920518","-2.490570732760893","21.36449727244162",
Easthope,,,"901",S 221,Shropshire,Shrewsbury,"52.5535522","-2.640828",Shire match,,"52.707755","-2.7540658","52.5535522","-2.640828","18.794593564110183",
Patton,,,"901",S 221,Shropshire,Shrewsbury,"52.5514734","-2.6131182",Shire match,,"52.707755","-2.7540658","52.5514734","-2.6131182","19.83743155633934",
Stanton Long,,,"901",S 221,Shropshire,Shrewsbury,"52.5119182","-2.6309747",Shire match,,"52.707755","-2.7540658","52.5119182","-2.6309747","23.333239853962972",
Suthtone (? Sutton Maddock),"52.61177235369736","-2.411361691545011","949",S 549,Shropshire,Somerton,,,Not found,,"51.06161","-2.7548573","52.61177235369736","-2.411361691545011","174.09451056415284",
Hardwell in Compton Beauchamp,"51.579593218163794","-1.593242345501103","903",S 369,Berkshire,Southampton,,,Not found,,"50.9025349","-1.404189","51.579593218163794","-1.593242345501103","76.47284634526937",
Worthy,,,"900",S 360,Hampshire,Southampton,"51.1033985","-1.3008489",Shire match,,"50.9025349","-1.404189","51.1033985","-1.3008489","23.49359561118219",
Farnborough,,,"1042",S 993,Berkshire,Sutton Courtenay,"51.5367279","-1.3748299",Shire match,,"51.6397508","-1.2777309","51.5367279","-1.3748299","13.291761921158749",
Downton,"50.993","-1.743","997, 1051",S 891,Wiltshire,"Wantage, Calne","50.9927562","-1.7517519",Shire match,,missing value,missing value,"50.993","-1.743",,
Ebbesborne,"51.017","-2.013","997", S 891,Wiltshire,"Wantage, Calne","51.0074719","-2.0135706",Shire match,,missing value,missing value,"51.017","-2.013",,
Farnborough,"51.2998205472259","-0.7607200895980093","915",S 225,"Berkshire, Warwickshire",Weardburg,,,Not found,,missing value,missing value,"51.2998205472259","-0.7607200895980093",,
Aldenham,,,"1066",S 1043,Hertfordshire,Westminster,"51.6735426","-0.3520014",Shire match,,"51.5004439","-0.1265398","51.6735426","-0.3520014","24.800919532819286",
Amersham,,,"1066",S 1043,Buckinghamshire,Westminster,"51.676685","-0.607692",Shire match,,"51.5004439","-0.1265398","51.676685","-0.607692","38.68441389553938",
Ashwell,,,"1066",S 1043,Hertfordshire,Westminster,"52.0402221","-0.1550213",Shire match,,"51.5004439","-0.1265398","52.0402221","-0.1550213","60.08950338423041",
Ayot (St Lawrence),,,"1066",S 1043,Hertfordshire,Westminster,"51.8350966","-0.2580284",Shire match,,"51.5004439","-0.1265398","51.8350966","-0.2580284","38.32899097492886",
Brickendon,,,"998",S 894,Hertfordshire,Westminster,"51.7553812","-0.0849622",Shire match,,"51.5004439","-0.1265398","51.7553812","-0.0849622","28.510135725501325",
Chollington in Eastbourne,"50.79342313446913","0.2899554402861044","1066",S 1043,Sussex,Westminster,,,Not found,"Quite unsure, based on Eastbourne","51.5004439","-0.1265398","50.79342313446913","0.2899554402861044","83.88229203596956",
Claygate,,,"1066",S 1043,Surrey,Westminster,"51.3602657","-0.3375054",Shire match,,"51.5004439","-0.1265398","51.3602657","-0.3375054","21.41238489540483",
Cowley Peachey,"51.52097166086622","-0.4806586951993489","998",S 894,Middlesex,Westminster,,,Not found,,"51.5004439","-0.1265398","51.52097166086622","-0.4806586951993489","24.690269126955247",
Datchworth,,,"1066",S 1043,Hertfordshire,Westminster,"51.8531384","-0.1586845",Shire match,,"51.5004439","-0.1265398","51.8531384","-0.1586845","39.30415705441762",
Deene,,,"1066",S 1043,Northamptonshire,Westminster,"52.519851","-0.6209055",Shire match,,"51.5004439","-0.1265398","52.519851","-0.6209055","118.39637755761427",
Deerhurst,,,"1066",S 1043,Gloucestershire,Westminster,"51.9528346","-2.186237",Shire match,,"51.5004439","-0.1265398","51.9528346","-2.186237","150.9482311304937",
Denham,,,"1066",S 1043,Buckinghamshire,Westminster,"51.5729922","-0.4998008",Shire match,,"51.5004439","-0.1265398","51.5729922","-0.4998008","27.127231687116158",
Fanton (Hall) in North Benfleet,"51.59474070401188","0.5443288483112011","1066",S 1043,Essex,Westminster,,,Not found,,"51.5004439","-0.1265398","51.59474070401188","0.5443288483112011","47.70467513653492",
Greenford,,,"1066",S 1043,Middlesex,Westminster,"51.5485482","-0.3446914",No shire match,,"51.5004439","-0.1265398","51.5485482","-0.3446914","16.0585345538259",
Hampstead,"51.55551241084861","-0.1807001212646484","998, 1066","S 894, S 1043",Middlesex,Westminster,,,Not found,,"51.5004439","-0.1265398","51.55551241084861","-0.1807001212646484","7.1878561528746205",
Hanwell,"51.508650137280846","-0.3374178821453045","998",S 894,Hertfordshire,Westminster,,,Not found,"Now in London, not found in Hertfordshire","51.5004439","-0.1265398","51.508650137280846","-0.3374178821453045","14.670458516542876",
Hendon,"51.58472775848547","-0.2282088070080716","998, 1066","S 894, S 1043",Middlesex,Westminster,,,Not found,,"51.5004439","-0.1265398","51.58472775848547","-0.2282088070080716","11.733875183901665",
Holwell,,,"1066",S 1043,Hertfordshire,Westminster,"51.985701","-0.3039795",Shire match,,"51.5004439","-0.1265398","51.985701","-0.3039795","55.3644099368895",
Islip,,,"1066",S 1043,Oxfordshire,Westminster,"51.8231826","-1.2364036",Shire match,,"51.5004439","-0.1265398","51.8231826","-1.2364036","84.77537696025385",
Kelvedon,,,"1066",S 1043,Essex,Westminster,"51.8391963","0.6852534",Shire match,,"51.5004439","-0.1265398","51.8391963","0.6852534","67.63557363042095",
Kelvedon Hatch,,,"1066",S 1043,Essex,Westminster,"51.6660298","0.2744584",Shire match,,"51.5004439","-0.1265398","51.6660298","0.2744584","33.34592544907208",
Latchingdon,,,"1066",S 1043,Essex,Westminster,"51.6597817","0.724805",Shire match,,"51.5004439","-0.1265398","51.6597817","0.724805","61.61890406180393",
Launton,,,"1066",S 1043,Oxfordshire,Westminster,"51.8976897","-1.115968",Shire match,,"51.5004439","-0.1265398","51.8976897","-1.115968","81.4418417346338",
Lessness,,,"1066",S 1043,Kent,Westminster,"51.4828537","0.1494032",Shire match,,"51.5004439","-0.1265398","51.4828537","0.1494032","19.264777170327942",
Leyton,,,"1066",S 1043,Essex,Westminster,"51.816036","1.1578943",Shire match,,"51.5004439","-0.1265398","51.816036","1.1578943","95.5652361993481",
"Lothereslege (lost,  in Hendon)","51.58472775848547","-0.2282088070080716","998",S 894,Middlesex,Westminster,,,Not found,Based on Hendon,"51.5004439","-0.1265398","51.58472775848547","-0.2282088070080716","11.733875183901665",
Mapulderforde (? Maplestead),"51.98017002484213","0.6315079783796114","1066",S 1043,Essex,Westminster,,,Not found,C12 church with framgentary AS stonework https://historicengland.org.uk/listing/the-list/list-entry/1337989?section=official-list-entry,"51.5004439","-0.1265398","51.98017002484213","0.6315079783796114","74.77028986465781",
Morden,,,"1066",S 1043,Surrey,Westminster,"51.3026901","-0.2280833",Shire match,,"51.5004439","-0.1265398","51.3026901","-0.2280833","23.108235675660776",
Moulsham,,,"1066",S 1043,Essex,Westminster,"51.7265808","0.4712557",Shire match,,"51.5004439","-0.1265398","51.7265808","0.4712557","48.452319177321684",
Paddington,"51.51733880561567","-0.1745652543092306","998",S 894,Middlesex,Westminster,,,Not found,,"51.5004439","-0.1265398","51.51733880561567","-0.1745652543092306","3.8276048728295704",
Paglesham,,,"1066",S 1043,Essex,Westminster,"51.5996413","0.7958937",Shire match,,"51.5004439","-0.1265398","51.5996413","0.7958937","64.9284918340624",
Parham,,,"1066",S 1043,Sussex,Westminster,"50.9194442","-0.5010893",Shire match,,"51.5004439","-0.1265398","50.9194442","-0.5010893","69.73549377534202",
Pershore,,,"1066",S 1043,Worcestershire,Westminster,"52.1096993","-2.0754758",Shire match,,"51.5004439","-0.1265398","52.1096993","-2.0754758","150.54721731866093",
Perton,,,"1066",S 1043,Staffordshire,Westminster,"52.5957196","-2.2033801",Shire match,,"51.5004439","-0.1265398","52.5957196","-2.2033801","187.4773768452732",
Rayne,,,"1066",S 1043,Essex,Westminster,"51.8879146","0.4944322",Shire match,,"51.5004439","-0.1265398","51.8879146","0.4944322","60.84461457163045",
Rutland (shire),"52.65836017877989","-0.7062203375118706","1066",S 1043,Rutland,Westminster,,,Not found,Norman church https://historicengland.org.uk/listing/heritage-at-risk/search-register/list-entry/21021,"51.5004439","-0.1265398","52.65836017877989","-0.7062203375118706","134.82861390757333",
Shepperton,"51.39586285729347","-0.4486578816936648","998, 1066","S 894, S 1043",Middlesex,Westminster,,,Not found,,"51.5004439","-0.1265398","51.39586285729347","-0.4486578816936648","25.235788593687637",
Staines,"51.43358691711076","-0.5127579861131816","1066",S 1043,Middlesex,Westminster,,,Not found,Presumably Staines-upon-Thames,"51.5004439","-0.1265398","51.43358691711076","-0.5127579861131816","27.850206548653784",
Stevenage,,,"1066",S 1043,Hertfordshire,Westminster,"51.9016663","-0.2027155",Shire match,,"51.5004439","-0.1265398","51.9016663","-0.2027155","44.95023518253601",
Sudborough,,,"1066",S 1043,Northamptonshire,Westminster,"52.4361016","-0.5857794",Shire match,,"51.5004439","-0.1265398","52.4361016","-0.5857794","108.78608564205149",
Sullington,,,"998",S 894,Sussex,Westminster,"50.9073361","-0.4380748",Shire match,,"51.5004439","-0.1265398","50.9073361","-0.4380748","69.48380831729592",
Sunbury,"51.418425405523024","-0.4187168637445665","1066",S 1043,Middlesex,Westminster,,,Not found,"Sunbury on Thames, presumably","51.5004439","-0.1265398","51.418425405523024","-0.4187168637445665","22.2629442070054",
Wanstead,"51.57735265762785","0.0240995575939174","1066",S 1043,Essex,Westminster,,,Not found,,"51.5004439","-0.1265398","51.57735265762785","0.0240995575939174","13.507525853110097",
Watton-at-Stone,,,"1066",S 1043,Hertfordshire,Westminster,"51.8585119","-0.1165373",Shire match,,"51.5004439","-0.1265398","51.8585119","-0.1165373","39.84510158842742",
Weedon,,,"1066",S 1043,Buckinghamshire,Westminster,"51.8559075","-0.8191189",Shire match,,"51.5004439","-0.1265398","51.8559075","-0.8191189","62.1208898920205",
Wennington,,,"1066",S 1043,Essex,Westminster,"51.5065473","0.2171623",Shire match,,"51.5004439","-0.1265398","51.5065473","0.2171623","23.874662416656154",
West Chiltington,,,"1066",S 1043,Sussex,Westminster,"50.9558921","-0.44852",Shire match,,"51.5004439","-0.1265398","50.9558921","-0.44852","64.62284168959444",
Westminster (town),"51.49772046263794","-0.1351907104669806","998, 1066","S 894, S 1043",Middlesex,Westminster,,,Not found,,"51.5004439","-0.1265398","51.49772046263794","-0.1351907104669806","0.6728258977732731",
Wheathampstead,,,"1066",S 1043,Hertfordshire,Westminster,"51.8126524","-0.2936637",Shire match,,"51.5004439","-0.1265398","51.8126524","-0.2936637","36.611272004301824",
Windsor,,,"1066",S 1043,Berkshire,Westminster,"51.4837886","-0.6040419",No shire match,,"51.5004439","-0.1265398","51.4837886","-0.6040419","33.215382601973886",
Wormley,,,"1066",S 1043,Hertfordshire,Westminster,"51.7328989","-0.0244303",Shire match,,"51.5004439","-0.1265398","51.7328989","-0.0244303","26.81251973859155",
Collingbourne,,,"933",S 379,Wiltshire,Wilton,"51.2759545","-1.6369214",Shire match,,"51.0805315","-1.8607051","51.2759545","-1.6369214","26.787338096881093",
Abbots Bromley,,,"942",S 479,Staffordshire,Winchcombe,"52.8191473","-1.8808933",Shire match,,"51.9527513","-1.9675136","52.8191473","-1.8808933","96.58812787078391",
Branston,,,"942",S 479,Staffordshire,Winchcombe,"52.7934552","-1.6683022",Shire match,,"51.9527513","-1.9675136","52.7934552","-1.6683022","95.74237345033103",
Clifton,,,"942",S 479,Staffordshire,Winchcombe,"52.9837457","-1.9878022",Shire match,,"51.9527513","-1.9675136","52.9837457","-1.9878022","114.73344815869466",
Haunton,,,"942",S 479,Staffordshire,Winchcombe,"52.6953683","-1.6497353",Shire match,,"51.9527513","-1.9675136","52.6953683","-1.6497353","85.42660409280347",
Kings Bromley,,,"942",S 479,Staffordshire,Winchcombe,"52.7489467","-1.8210198",Shire match,,"51.9527513","-1.9675136","52.7489467","-1.8210198","89.15636040829803",
Rolleston,,,"942",S 479,Staffordshire,Winchcombe,"52.8462987","-1.650868",Shire match,,"51.9527513","-1.9675136","52.8462987","-1.650868","101.73819589573002",
Stretton,,,"942",S 479,Staffordshire,Winchcombe,"52.8339891","-1.6263284",Shire match,,"51.9527513","-1.9675136","52.8339891","-1.6263284","100.77231571977445",
Tatenhill,,,"942",S 479,Staffordshire,Winchcombe,"52.8010891","-1.7346016",Shire match,,"51.9527513","-1.9675136","52.8010891","-1.7346016","95.72148062510664",
Derantune (? Durrington),"50.83759328980917","-0.4266490572475064","934",S 425,Sussex,Winchester,,,Not found,Quite unsure of this one,"51.0612766","-1.3131692","50.83759328980917","-0.4266490572475064","67.08462481223079",
Hurstbourne Priors,,,"900",S 358,Hampshire,Winchester,"51.2159726","-1.3754484",Shire match,,"51.0612766","-1.3131692","51.2159726","-1.3754484","17.753474129359876",
Sparcells in Lydiard Millicent,"51.57868634595403","-1.829919568902966","900",S 359,Wiltshire,Winchester,,,Not found,,"51.0612766","-1.3131692","51.57868634595403","-1.829919568902966","67.90686954935876",
Stoke by Hurstbourne,"51.264734219148295","-1.424069854137659","900",S 359,Hampshire,Winchester,,,Not found,,"51.0612766","-1.3131692","51.264734219148295","-1.424069854137659","23.927423612224054",
Chisledon,"51.51827195312302","-1.731671652329621","900, 901","S 359, S 366",Wiltshire,"Winchester, Southampton",,,Not found,Anglo-Saxon church https://historicengland.org.uk/listing/the-list/list-entry/1023312?section=official-list-entry,"50.9297324","-1.426927","51.51827195312302","-1.731671652329621","68.8504391643363",
(Bishops) Lydeard,,,"1065",S 1042,Somerset,Windsor,"51.0576845","-3.1873724",Shire match,,"51.4837886","-0.6040419","51.0576845","-3.1873724","186.40352087945374",
(East) Wanstrow,"51.1736498261318","-2.414263092475683","1065",S 1042,Somerset,Windsor,,,Not found,,"51.4837886","-0.6040419","51.1736498261318","-2.414263092475683","130.8022434670394",
Binegar,,,"1065",S 1042,Somerset,Windsor,"51.2427853","-2.5514413",Shire match,,"51.4837886","-0.6040419","51.2427853","-2.5514413","138.25304171153735",
Bleadney,,,"1065",S 1042,Somerset,Windsor,"51.203451","-2.7378454",Shire match,,"51.4837886","-0.6040419","51.203451","-2.7378454","151.90908608909112",
Chew Magna,,,"1065",S 1042,Somerset,Windsor,"51.3660251","-2.6089889",Shire match,,"51.4837886","-0.6040419","51.3660251","-2.6089889","140.0628909102701",
Combe St Nicholas,,,"1065",S 1042,Somerset,Windsor,"50.8973646","-2.9947914",Shire match,,"51.4837886","-0.6040419","50.8973646","-2.9947914","179.40784038535253",
Congresbury,,,"1065",S 1042,Somerset,Windsor,"51.3720095","-2.8055631",Shire match,,"51.4837886","-0.6040419","51.3720095","-2.8055631","153.61419629051366",
Evercreech,,,"1065",S 1042,Somerset,Windsor,"51.1520665","-2.5084975",Shire match,,"51.4837886","-0.6040419","51.1520665","-2.5084975","137.80176447806343",
Kingsbury,,,"1065",S 1042,Somerset,Windsor,"50.9864772","-2.8072967",Shire match,,"51.4837886","-0.6040419","50.9864772","-2.8072967","163.51651184704693",
Litton,,,"1065",S 1042,Somerset,Windsor,"51.2900131","-2.5820639",Shire match,,"51.4837886","-0.6040419","51.2900131","-2.5820639","139.3675577175292",
Wedmore,,,"1065",S 1042,Somerset,Windsor,"51.2255001","-2.8114392",Shire match,,"51.4837886","-0.6040419","51.2255001","-2.8114392","156.42546261948678",
Wells,,,"1065",S 1042,Somerset,Windsor,"51.2094511","-2.6451203",Shire match,,"51.4837886","-0.6040419","51.2094511","-2.6451203","145.4419725438023",
Westbury,,,"1065",S 1042,Somerset,Windsor,"51.2386997","-2.7194147",Shire match,,"51.4837886","-0.6040419","51.2386997","-2.7194147","149.8344556739151",
Winsham,,,"1065",S 1042,Somerset,Windsor,"50.8638639","-2.8790331",Shire match,,"51.4837886","-0.6040419","50.8638639","-2.8790331","173.39680660248027",
Withycombe,,,"1065",S 1042,Somerset,Windsor,"51.1490711","-3.4234301",Shire match,,"51.4837886","-0.6040419","51.1490711","-3.4234301","200.0481387216127",
Armingford,,,"970, 970","S 776, S 779",Cambridgeshire,Woolmer,"52.0862689","0.0284027",Shire match,,"51.0937792","-0.7481479","52.0862689","0.0284027","122.83873762324853",
Farleigh,,,"898",S 350,Kent,Woolmer,"51.4073813","0.8506409",Shire match,,"51.0937792","-0.7481479","51.4073813","0.8506409","116.94817493447056",
Melbourn,,,"970, 970","S 776, S 779",Cambridgeshire,Woolmer,"52.0817224","0.0186616",Shire match,,"51.0937792","-0.7481479","52.0817224","0.0186616","122.09003658070066",
Northwold,,,"970",S 779,Norfolk,Woolmer,"52.5431885","0.5773957",Shire match,,"51.0937792","-0.7481479","52.5431885","0.5773957","185.36117680433736",
Ely,,,"957, 970","S 646, S 776",Cambridgeshire,"Woolmer, Edington","52.3990199","0.262039",Shire match,,missing value,missing value,"52.3990199","0.262039",,
Watchfield,"51.61218116993591","-1.6405934371827482","931",S 413,Berkshire,Worthy,,,Not found,,"51.1033985","-1.3008489","51.61218116993591","-1.6405934371827482","61.35240695743757",
