Location,Latitude (decimal),Longitude (decimal),Year of issue,Diplomas,Shire,Donated in royal diploma at (location),Lat (comp.),Lon (comp.),Predicted accuracy,Notes,Prom Lat,Prom Lon,Estate Lat Fallback,Estate Lon Fallback,Distance,Distance numeric
Burleston,,,"934",S 391,Dorset,Dorchester,"50.7476294","-2.3180015",Shire match,,"50.7132064","-2.4371229","50.7476294","-2.3180015","9.241139117723527",
Cattistock,,,"934",S 391,Dorset,Dorchester,"50.8097933","-2.5913499",Shire match,,"50.7132064","-2.4371229","50.8097933","-2.5913499","15.292525034930598",
Chalmington,,,"934",S 391,Dorset,Dorchester,"50.8056347","-2.5770133",Shire match,,"50.7132064","-2.4371229","50.8056347","-2.5770133","14.25310262090465",
Clyffe in Tincleton,,,"934",S 391,Dorset,Dorchester,,,Not found,,"50.7132064","-2.4371229",,,,
Compton Abbas,,,"934",S 391,Dorset,Dorchester,"50.9649957","-2.187397",Shire match,,"50.7132064","-2.4371229","50.9649957","-2.187397","33.07583283535644",
Ercecombe (Yarcombe)/Stokelonde (Stockland),,,"934",S 391,Devonshire,Dorchester,,,Not found,,"50.7132064","-2.4371229",,,,
Ewen,,,"937",S 436,Gloucestershire,Dorchester,"51.677278","-1.993704",Shire match,,"50.7132064","-2.4371229","51.677278","-1.993704","111.6433817316402",
Hillfield,,,"934",S 391,Dorset,Dorchester,"50.625128","-2.240709",Shire match,,"50.7132064","-2.4371229","50.625128","-2.240709","16.99444357954319",
Holworth,,,"934",S 391,Dorset,Dorchester,"50.6496111","-2.3303023",Shire match,,"50.7132064","-2.4371229","50.6496111","-2.3303023","10.346380645238396",
Little Puddle,,,"934",S 391,Dorset,Dorchester,,,Not found,,"50.7132064","-2.4371229",,,,
Lyscombe,,,"934",S 391,Dorset,Dorchester,"50.6810991","-2.2351315",Shire match,,"50.7132064","-2.4371229","50.6810991","-2.2351315","14.711582038917767",
Milborne (St Andrew),,,"934",S 391,Dorset,Dorchester,"50.7764648","-2.277241",Shire match,,"50.7132064","-2.4371229","50.7764648","-2.277241","13.299124796532443",
Norton,,,"937",S 436,Wiltshire,Dorchester,"51.5650551","-2.161818",Shire match,,"50.7132064","-2.4371229","51.5650551","-2.161818","96.70765269145662",
Osmington,,,"934",S 391,Dorset,Dorchester,"50.6461536","-2.3901583",Shire match,,"50.7132064","-2.4371229","50.6461536","-2.3901583","8.164367114986733",
Ower,,,"934",S 391,Dorset,Dorchester,"50.6693846","-2.0031095",Shire match,,"50.7132064","-2.4371229","50.6693846","-2.0031095","31.05342744350237",
Sumerford (? Little Somerford),,,"937",S 436,Wiltshire,Dorchester,,,Not found,,"50.7132064","-2.4371229",,,,
Sydling,,,"934",S 391,Dorset,Dorchester,"50.7999259","-2.5263061",Shire match,,"50.7132064","-2.4371229","50.7999259","-2.5263061","11.518167725374745",
Twynham (Christchurch),,,"934",S 391,Hampshire,Dorchester,,,Not found,,"50.7132064","-2.4371229",,,,
Whitcombe,,,"934",S 391,Dorset,Dorchester,"50.6927897","-2.4012155",Shire match,,"50.7132064","-2.4371229","50.6927897","-2.4012155","3.40486323531234",
Woolland,,,"934",S 391,Dorset,Dorchester,"50.8614553","-2.3168527",Shire match,,"50.7132064","-2.4371229","50.8614553","-2.3168527","18.54484886569521",
Wootton Bassett,,,"937, 937","S 435, S 436",Wiltshire,Dorchester,"51.5417946","-1.9047369",Shire match,,"50.7132064","-2.4371229","51.5417946","-1.9047369","99.42953943449731",
"Ye (St Helen’s,  now Green Island)",,,"934",S 391,Dorset,Dorchester,,,Not found,,"50.7132064","-2.4371229",,,,
Walden,,,"888",S 220,Hertfordshire,Droitwich,"51.8811097","-0.2760921",Shire match,,"52.26851","-2.1486075","51.8811097","-0.2760921","135.4245521351477",
Cyricestun (? Somerset),,,"882",S 345,Somerset,Epsom,,,Not found,,"51.3326098","-0.2678212",,,,
Odstock,,,"928",S 400,Wiltshire,Exeter,"51.0255727","-1.7909125",Shire match,,"50.7256138","-3.5269209","51.0255727","-1.7909125","126.66043404939349",
Winterbourne (? near Bristol),,,"928",S 399,Gloucestershire,Exeter,,,Not found,,"50.7256138","-3.5269209",,,,
Ashmanworth,,,"934",S 427,Hampshire,Frome,,,Not found,,"51.2294852","-2.3198467",,,,
Chilbolton,,,"934",S 427,Hampshire,Frome,"51.13978","-1.4190758",Shire match,,"51.2294852","-2.3198467","51.13978","-1.4190758","63.76611217247697",
Enford,,,"934",S 427,Wiltshire,Frome,"51.2603232","-1.8055256",Shire match,,"51.2294852","-2.3198467","51.2603232","-1.8055256","36.07717310733176",
Twickenham,,,"948",S 537,Middlesex,Gadshill,,,Not found,,"52.2698549","-1.545795",,,,
Aston in Wellington,,,"975",S 802,Shropshire,Glastonbury,,,Not found,,"51.14804","-2.716577",,,,
Between the Tyburn and the Fleet,,,"959",S 670,Middlesex,Glastonbury,,,Not found,,"51.14804","-2.716577",,,,
Rimpton,,,"956",S 571,Somerset,Glastonbury,"50.9944264","-2.5628889",Shire match,,"51.14804","-2.716577","50.9944264","-2.5628889","20.201127348520096",
Blackwell in Tredington,,,"963",S 731,Worcestershire,Gloucester,,,Not found,,"51.8653705","-2.2458192",,,,
Blockley,,,"963",S 731,Gloucestershire,Gloucester,"52.0223907","-1.7408221",Shire match,,"51.8653705","-2.2458192","52.0223907","-1.7408221","38.87277134627344",
Bredon,,,"963",S 731,Worcestershire,Gloucester,"52.0311079","-2.112163",Shire match,,"51.8653705","-2.2458192","52.0311079","-2.112163","20.603954991930085",
Cropthorne,,,"963",S 731,Worcestershire,Gloucester,"52.1049064","-2.0011014",Shire match,,"51.8653705","-2.2458192","52.1049064","-2.0011014","31.51196868152132",
Daylesford,,,"949, 963",S 731,Gloucestershire,Gloucester,"51.9311658","-1.6467043",Shire match,,"51.8653705","-2.2458192","51.9311658","-1.6467043","41.883844888809065",
Dorn in Batsford,"52.00394874439924","-1.703913371591283","963",S 731,Gloucestershire,Gloucester,,,Not found,,"51.8653705","-2.2458192","52.00394874439924","-1.703913371591283","40.334573178131016",
Evenlode,,,"963, 1051",S 731,Gloucestershire,Gloucester,"51.9638236","-1.674951",Shire match,,"51.8653705","-2.2458192","51.9638236","-1.674951","40.77940868566387",
Grimley,,,"963",S 731,Worcestershire,Gloucester,"52.240114","-2.2413205",Shire match,,"51.8653705","-2.2458192","52.240114","-2.2413205","41.698234431852754",
Hallow,,,"963",S 731,Worcestershire,Gloucester,"52.2216182","-2.2544279",Shire match,,"51.8653705","-2.2458192","52.2216182","-2.2544279","39.64343304755003",
Harvington,,,"963",S 731,Worcestershire,Gloucester,"52.1386899","-1.9197959",Shire match,,"51.8653705","-2.2458192","52.1386899","-1.9197959","37.764403822084184",
Icomb,,,"963",S 731,Gloucestershire,Gloucester,"51.9012782","-1.6922932",Shire match,,"51.8653705","-2.2458192","51.9012782","-1.6922932","38.322554431763436",
Knightwick,,,"963",S 731,Worcestershire,Gloucester,"52.2005208","-2.3948939",Shire match,,"51.8653705","-2.2458192","52.2005208","-2.3948939","38.66936547846609",
Little Witley,,,"963",S 731,Worcestershire,Gloucester,"52.2706289","-2.3186977",Shire match,,"51.8653705","-2.2458192","52.2706289","-2.3186977","45.36863802775985",
Mitton in Bredon,"51.997005275691386","-2.151907403874006","963",S 731,Worcestershire,Gloucester,,,Not found,,"51.8653705","-2.2458192","51.997005275691386","-2.151907403874006","16.007660962575436",
Northwick in Blockley,,,"963",S 731,Gloucestershire,Gloucester,"52.0307948","-1.7531593",Shire match,,"51.8653705","-2.2458192","52.0307948","-1.7531593","38.5516238861622",
Overbury,,,"963",S 731,Worcestershire,Gloucester,"52.034755","-2.0632074",Shire match,,"51.8653705","-2.2458192","52.034755","-2.0632074","22.64593766462563",
Pendock,,,"963",S 731,Worcestershire,Gloucester,"51.9930493","-2.3157651",Shire match,,"51.8653705","-2.2458192","51.9930493","-2.3157651","14.998932892393599",
Sedgeberrow,,,"963",S 731,Worcestershire,Gloucester,"52.0452687","-1.9684868",Shire match,,"51.8653705","-2.2458192","52.0452687","-1.9684868","27.643457835920476",
Shipston-on-Stour,,,"963",S 731,Warwickshire,Gloucester,"52.0630181","-1.6247264",Shire match,,"51.8653705","-2.2458192","52.0630181","-1.6247264","48.020797643628605",
Teddington,,,"963",S 731,Gloucestershire,Gloucester,"51.9964573","-2.0446998",Shire match,,"51.8653705","-2.2458192","51.9964573","-2.0446998","20.10245413780684",
Tredington,,,"963",S 731,Warwickshire,Gloucester,"52.0902906","-1.6254083",Shire match,,"51.8653705","-2.2458192","52.0902906","-1.6254083","49.43247992785865",
Cowley,,,"1004",S 909,Oxfordshire,Headington,"51.7313447","-1.2175301",Shire match,,"51.7601673","-1.2109282","51.7313447","-1.2175301","3.239128839508521",
Cutslow,"51.78976300925623","-1.2662969475624906","1004",S 909,Oxfordshire,Headington,,,Not found,I have used Cutteslowe,"51.7601673","-1.2109282","51.78976300925623","-1.2662969475624906","5.044629438865582",
Headington,,,"1004",S 909,Oxfordshire,Headington,"51.7601673","-1.2109282",Shire match,,"51.7601673","-1.2109282","51.7601673","-1.2109282","0.0",
Upper Winchendon,,,"1004",S 909,Buckinghamshire,Headington,"51.8182405","-0.9260746",Shire match,,"51.7601673","-1.2109282","51.8182405","-0.9260746","20.689748791638692",
