# For spot checking the geolocations from geocode_charters.py
# Can be pasted into https://www.mapcustomizer.com/ for a quick spot-check

51.6735426	-0.3520014	{Aldenham}
51.676685	-0.607692	{Amersham}
52.0402221	-0.1550213	{Ashwell}
51.8350966	-0.2580284	{Ayot (St Lawrence)}
51.7553812	-0.0849622	{Brickendon}

51.3602657	-0.3375054	{Claygate}

51.8531384	-0.1586845	{Datchworth}
52.519851	-0.6209055	{Deene}
51.9528346	-2.186237	{Deerhurst}
51.5729922	-0.4998008	{Denham}

51.5485482	-0.3446914	{Greenford}



51.985701	-0.3039795	{Holwell}
51.8231826	-1.2364036	{Islip}
51.8391963	0.6852534	{Kelvedon}
51.6660298	0.2744584	{Kelvedon Hatch}
51.6597817	0.724805	{Latchingdon}
51.8976897	-1.115968	{Launton}
51.4828537	0.1494032	{Lessness}
51.816036	1.1578943	{Leyton}


51.3026901	-0.2280833	{Morden}
51.7265808	0.4712557	{Moulsham}

51.5996413	0.7958937	{Paglesham}
50.9194442	-0.5010893	{Parham}
52.1096993	-2.0754758	{Pershore}
52.5957196	-2.2033801	{Perton}
51.8879146	0.4944322	{Rayne}



51.9016663	-0.2027155	{Stevenage}
52.4361016	-0.5857794	{Sudborough}
50.9073361	-0.4380748	{Sullington}


51.8585119	-0.1165373	{Watton-at-Stone}
51.8559075	-0.8191189	{Weedon}
51.5065473	0.2171623	{Wennington}
50.9558921	-0.44852	{West Chiltington}

51.8126524	-0.2936637	{Wheathampstead}
51.4837886	-0.6040419	{Windsor}
51.7328989	-0.0244303	{Wormley}
51.2759545	-1.6369214	{Collingbourne}
52.8191473	-1.8808933	{Abbots Bromley}
52.7934552	-1.6683022	{Branston}
52.9837457	-1.9878022	{Clifton}
52.6953683	-1.6497353	{Haunton}
52.7489467	-1.8210198	{Kings Bromley}
52.8462987	-1.650868	{Rolleston}
52.8339891	-1.6263284	{Stretton}
52.8010891	-1.7346016	{Tatenhill}

51.2159726	-1.3754484	{Hurstbourne Priors}



51.0576845	-3.1873724	{(Bishops) Lydeard}

51.2427853	-2.5514413	{Binegar}
51.203451	-2.7378454	{Bleadney}
51.3660251	-2.6089889	{Chew Magna}
50.8973646	-2.9947914	{Combe St Nicholas}
51.3720095	-2.8055631	{Congresbury}
51.1520665	-2.5084975	{Evercreech}
50.9864772	-2.8072967	{Kingsbury}
51.2900131	-2.5820639	{Litton}
51.2255001	-2.8114392	{Wedmore}
51.2094511	-2.6451203	{Wells}
51.2386997	-2.7194147	{Westbury}
50.8638639	-2.8790331	{Winsham}
51.1490711	-3.4234301	{Withycombe}
52.0862689	0.0284027	{Armingford}
51.4073813	0.8506409	{Farleigh}
52.0817224	0.0186616	{Melbourn}
52.5431885	0.5773957	{Northwold}
52.3990199	0.262039	{Ely}
