Location,Estate Lat (WIP),Estate Lon (WIP),Year of issue,Diplomas,Diploma authenticity (as in Notion),Category of diploma authenticity (quadripartite simplification),Beneficiary,Beneficiary: commu or person,Beneficiary person: lay or ecclesiastic,Diploma preserved at (archive),Num diplomas,Shire,Promulgation site,Lat (comp.),Lon (comp.),Predicted accuracy,Notes,Archive Lat,Archive Lon,Prom Lat,Prom Lon,Estate Lat,Estate Lon,Distance between estate and promulgation site,Distance between estate and archive,Int Estate Promulgation Distance
Osmington,,,"934",S 391,disputed (probably spurious),likely spurious,Milton abbey,community,,Milton,"1",Dorset,Dorchester,"50.6461536","-2.3901583",Shire match,,,,"50.7132064","-2.4371229","50.6461536","-2.3901583","8.164367115",,
Ower,,,"934",S 391,disputed (probably spurious),likely spurious,Milton abbey,community,,Milton,"1",Dorset,Dorchester,"50.6693846","-2.0031095",Shire match,,,,"50.7132064","-2.4371229","50.6693846","-2.0031095","31.0534274435",,
Sydling,,,"934",S 391,disputed (probably spurious),likely spurious,Milton abbey,community,,Milton,"1",Dorset,Dorchester,"50.7999259","-2.5263061",Shire match,,,,"50.7132064","-2.4371229","50.7999259","-2.5263061","11.5181677254",,
Twynham (Christchurch),,,"934",S 391,disputed (probably spurious),likely spurious,Milton abbey,community,,Milton,"1",Hampshire,Dorchester,,,Not found,,,,"50.7132064","-2.4371229",,,,,
Whitcombe,,,"934",S 391,disputed (probably spurious),likely spurious,Milton abbey,community,,Milton,"1",Dorset,Dorchester,"50.6927897","-2.4012155",Shire match,,,,"50.7132064","-2.4371229","50.6927897","-2.4012155","3.4048632353",,
Woolland,,,"934",S 391,disputed (probably spurious),likely spurious,Milton abbey,community,,Milton,"1",Dorset,Dorchester,"50.8614553","-2.3168527",Shire match,,,,"50.7132064","-2.4371229","50.8614553","-2.3168527","18.5448488657",,
"Ye (St Helen’s, now Green Island)",,,"934",S 391,disputed (probably spurious),likely spurious,Milton abbey,community,,Milton,"1",Dorset,Dorchester,,,Not found,,,,"50.7132064","-2.4371229",,,,,
Werburginland (? Way (Wayborough) near Minster),"51.3389304216","1.3294571783","924",S 394,disputed (probably spurious),likely spurious,"Canterbury, St Augustine's",community,,"Canterbury, St Augustine's","1",Kent,Kingston-on-Thames,,,Not found,,,,"51.6743611","-1.2821216","51.3389304216","1.3294571783","185.1127672495",,
Winterbourne (? near Bristol),,,"928",S 399,authentic,authentic,Ælfflæd 11,person,lay,Glastonbury,"1",Gloucestershire,Exeter,,,Not found,,,,"50.7256138","-3.5269209",,,,,
Odstock,,,"928",S 400,authentic,authentic,Beorhtfrith 8,person,lay,"Winchester, Old Minster","1",Wiltshire,Exeter,"51.0255727","-1.7909125",Shire match,,,,"50.7256138","-3.5269209","51.0255727","-1.7909125","126.6604340494",,
Earnley,,,"930",S 403,authentic basis,likely authentic,Beornheah 7,person,ecclesiastic,Selsey,"1",Sussex,Lyminster,"50.7615064","-0.8368306",Shire match,,,,"50.8339978","-0.5475421","50.7615064","-0.8368306","21.9319281695",,
Medmerry,,,"930",S 403,authentic basis,likely authentic,Beornheah 7,person,ecclesiastic,Selsey,"1",Sussex,Lyminster,"50.7352691","-0.8105161",Shire match,,,,"50.8339978","-0.5475421","50.7352691","-0.8105161","21.5536664369",,
Sandford,"50.810522","-3.662816","930",S 405,authentic basis,likely authentic,Crediton abbey,community,,"Exeter, Crediton","1",Devonshire,Chippenham,"50.8230346","-3.7070975",No shire match,"Diploma exists in two copies, therefore two archives",,,"51.4587621","-2.1159032","50.810522","-3.662816","130.0894369817",,
Amounderness,,,"934",S 407,authentic (later copy some contamination also possible),likely authentic,York minster,community,,York minster,"1",Lancashire,Nottingham,"53.8100187","-2.7238423",Shire match,,,,"52.9534193","-1.1496461","53.8100187","-2.7238423","141.6330292629",,
Ecchinswell,,,"931",S 412,authentic,authentic,Ælfric 26,person,ecclesiastic,"Winchester, Old Minster","1",Hampshire,Colchester,"51.3329458","-1.2838865",Shire match,,,,"51.8896903","0.8994651","51.3329458","-1.2838865","163.4283045979",,
Watchfield,"51.6121811699","-1.6405934372","931",S 413,authentic,authentic,Ælfric 27,person,lay,Abingdon,"1",Berkshire,Worthy,,,Not found,,,,"51.1033985","-1.3008489","51.6121811699","-1.6405934372","61.3524069574",,
Ham,,,"931",S 416,authentic,authentic,Wulfgar 11,person,ecclesiastic,"Winchester, Old Minster","1",Wiltshire,Lifton,"51.3567244","-1.5189153",Shire match,"This had the donation site ""Lifton, Westminster""",,,"50.6431937101","-4.2836893505","51.3567244","-1.5189153","209.6694851977",,
(West) Meon,,,"932",S 417,authentic,authentic,Æthelgeard 2,person,lay,"Winchester, Old Minster","1",Hampshire,Milton,"51.0111638","-1.0839794",Shire match,,,,"52.2422961","0.1604726","51.0111638","-1.0839794","161.8234487347",,
North Stoneham,"50.955","-1.381666667","932",S 418,authentic,authentic,Alfred 34,person,lay,"Winchester, New Minster","1",Hampshire,Amesbury,"50.9638699","-1.3757176",Shire match,,,,"51.1706875","-1.7706128","50.955","-1.381666667","36.3208723031",,
Bowers Gifford,"51.56","0.52","932",S 418a,authentic,authentic,Beorhtsige 10,person,ecclesiastic,Barking,"1",Essex,Exeter,,,,"ADDED, WAS MISSING. PLEASE ADD TO QGIS",,,"50.7256138","-3.5269209","51.56","0.52","297.9887086914",,
Fontmell,"50.9515","-2.1918","932",S 419,authentic,authentic,Shaftesbury nunnery,community,,Shaftesbury,"1",Dorset,Amesbury,"50.9516684","-2.1913332",Shire match,,,,"51.1706875","-1.7706128","50.9515","-2.1918","38.2945069045",,
Albury,,,"933",S 420,spurious,spurious,Chertsey abbey,community,,Chertsey,"1",Surrey,Kingston-on-Thames,"51.209119","-0.4936554",Shire match,,,,"51.6743611","-1.2821216","51.209119","-0.4936554","75.3955059429",,
Banstead,,,"933",S 420,spurious,spurious,Chertsey abbey,community,,Chertsey,"1",Surrey,Kingston-on-Thames,"51.3238969","-0.1986813",Shire match,,,,"51.6743611","-1.2821216","51.3238969","-0.1986813","84.7386039937",,
Beddington,"51.3688191191","-0.1270396217","933",S 420,spurious,spurious,Chertsey abbey,community,,Chertsey,"1",Surrey,Kingston-on-Thames,,,Not found,,,,"51.6743611","-1.2821216","51.3688191191","-0.1270396217","87.0796094586",,
Bisley,,,"933",S 420,spurious,spurious,Chertsey abbey,community,,Chertsey,"1",Surrey,Kingston-on-Thames,"51.3234698","-0.6383949",Shire match,,,,"51.6743611","-1.2821216","51.3234698","-0.6383949","59.3487537726",,
Bookham,,,"933, 947, 967, 1051",S 420,spurious,spurious,Chertsey abbey,community,,Chertsey,"1",Surrey,Kingston-on-Thames,"51.2888353","-0.3838753",Shire match,,,,"51.6743611","-1.2821216","51.2888353","-0.3838753","75.7190854473",,
Byfleet,,,"933",S 420,spurious,spurious,Chertsey abbey,community,,Chertsey,"1",Surrey,Kingston-on-Thames,"51.3401727","-0.472897",Shire match,,,,"51.6743611","-1.2821216","51.3401727","-0.472897","67.3720888481",,
Carshalton (Æuueltone),"51.3647271224","-0.1638171025","933",S 420,spurious,spurious,Chertsey abbey,community,,Chertsey,"1",Surrey,Kingston-on-Thames,,,Not found,,,,"51.6743611","-1.2821216","51.3647271224","-0.1638171025","84.922285667",,
Cealuadune (Chaldon),"51.2804383334","-0.1178273928","927",S 420,spurious,spurious,Chertsey abbey,community,,Chertsey,"1",Surrey,Kingston-on-Thames,,,Not found,,,,"51.6743611","-1.2821216","51.2804383334","-0.1178273928","91.9976243684",,
Cheam,,,"928",S 420,spurious,spurious,Chertsey abbey,community,,Chertsey,"1",Surrey,Kingston-on-Thames,"51.3518694","-0.2229866",Shire match,,,,"51.6743611","-1.2821216","51.3518694","-0.2229866","81.8121204018",,
Chertsey,,,"929",S 420,spurious,spurious,Chertsey abbey,community,,Chertsey,"1",Surrey,Kingston-on-Thames,"51.392296","-0.5038294",Shire match,,,,"51.6743611","-1.2821216","51.392296","-0.5038294","62.4610261688",,
Chipstead,,,"930",S 420,spurious,spurious,Chertsey abbey,community,,Chertsey,"1",Surrey,Kingston-on-Thames,"51.3093522","-0.1693688",Shire match,,,,"51.6743611","-1.2821216","51.3093522","-0.1693688","87.3026090345",,
Chobham,,,"931",S 420,spurious,spurious,Chertsey abbey,community,,Chertsey,"1",Surrey,Kingston-on-Thames,"51.3477705","-0.6010128",Shire match,,,,"51.6743611","-1.2821216","51.3477705","-0.6010128","59.6332257771",,
Cobham,,,"932",S 420,spurious,spurious,Chertsey abbey,community,,Chertsey,"1",Surrey,Kingston-on-Thames,"51.3300079","-0.4120821",Shire match,,,,"51.6743611","-1.2821216","51.3300079","-0.4120821","71.5363315286",,
Coulsdon,,,"933",S 420,spurious,spurious,Chertsey abbey,community,,Chertsey,"1",Surrey,Kingston-on-Thames,"51.29723","-0.1061029",Shire match,,,,"51.6743611","-1.2821216","51.29723","-0.1061029","91.8329898188",,
Cuddington,,,"933",S 420,spurious,spurious,Chertsey abbey,community,,Chertsey,"1",Surrey,Kingston-on-Thames,"51.3764891","-0.2554486",Shire match,,,,"51.6743611","-1.2821216","51.3764891","-0.2554486","78.5821439476",,
Dritham,,,"933",S 420,spurious,spurious,Chertsey abbey,community,,Chertsey,"1",Surrey,Kingston-on-Thames,,,Not found,Cannot find,,,"51.6743611","-1.2821216",,,,,
East Clandon,,,"933",S 420,spurious,spurious,Chertsey abbey,community,,Chertsey,"1",Surrey,Kingston-on-Thames,"51.2568306","-0.4826123",Shire match,,,,"51.6743611","-1.2821216","51.2568306","-0.4826123","72.4204717906",,
Effingham,,,"933",S 420,spurious,spurious,Chertsey abbey,community,,Chertsey,"1",Surrey,Kingston-on-Thames,"51.271863","-0.3977913",Shire match,,,,"51.6743611","-1.2821216","51.271863","-0.3977913","76.0303531427",,
Egham,,,"933",S 420,spurious,spurious,Chertsey abbey,community,,Chertsey,"1",Surrey,Kingston-on-Thames,"51.4312585","-0.5473085",Shire match,,,,"51.6743611","-1.2821216","51.4312585","-0.5473085","57.6985990262",,
Epsom,,,"933",S 420,spurious,spurious,Chertsey abbey,community,,Chertsey,"1",Surrey,Kingston-on-Thames,"51.3326098","-0.2678212",Shire match,,,,"51.6743611","-1.2821216","51.3326098","-0.2678212","80.0354688545",,
Frimley,,,"933",S 420,spurious,spurious,Chertsey abbey,community,,Chertsey,"1",Surrey,Kingston-on-Thames,"51.3140156","-0.7440667",Shire match,,,,"51.6743611","-1.2821216","51.3140156","-0.7440667","54.8051806567",,
"Getinges (cf. Eaton Farm,  Chobham)","51.3573767167","-0.6069373666","933",S 420,spurious,spurious,Chertsey abbey,community,,Chertsey,"1",Surrey,Kingston-on-Thames,,,Not found,"Very unsure, just centred on Chobham",,,"51.6743611","-1.2821216","51.3573767167","-0.6069373666","58.6550060416",,
Hunewaldesham (lost) in Weybridge,"51.3663530677","-0.4453686793","933",S 420,spurious,spurious,Chertsey abbey,community,,Chertsey,"1",Surrey,Kingston-on-Thames,,,Not found,Centred on Weybridge,,,"51.6743611","-1.2821216","51.3663530677","-0.4453686793","67.4342114215",,
Merstham,,,"933",S 420,spurious,spurious,Chertsey abbey,community,,Chertsey,"1",Surrey,Kingston-on-Thames,"51.2641687","-0.150065",Shire match,,,,"51.6743611","-1.2821216","51.2641687","-0.150065","90.9416815586",,
Mitcham,,,"933",S 420,spurious,spurious,Chertsey abbey,community,,Chertsey,"1",Surrey,Kingston-on-Thames,"51.353138","-0.7204885",Shire match,,,,"51.6743611","-1.2821216","51.353138","-0.7204885","52.8896407418",,
Molesey,,,"933",S 420,spurious,spurious,Chertsey abbey,community,,Chertsey,"1",Surrey,Kingston-on-Thames,"51.4029006","-0.3713094",Shire match,,,,"51.6743611","-1.2821216","51.4029006","-0.3713094","70.039554086",,
Petersham,,,"933",S 420,spurious,spurious,Chertsey abbey,community,,Chertsey,"1",Surrey,Kingston-on-Thames,"51.3414264","-0.4776999",Shire match,,,,"51.6743611","-1.2821216","51.3414264","-0.4776999","67.0164346897",,
Pointers in Cobham,"51.3201295996","-0.4386804274","933",S 420,spurious,spurious,Chertsey abbey,community,,Chertsey,"1",Surrey,Kingston-on-Thames,,,Not found,Placed on the end of Pointers Road,,,"51.6743611","-1.2821216","51.3201295996","-0.4386804274","70.5965101217",,
Streatham,"51.4296059316","-0.1293768524","933",S 420,spurious,spurious,Chertsey abbey,community,,Chertsey,"1",Surrey,Kingston-on-Thames,,,Not found,,,,"51.6743611","-1.2821216","51.4296059316","-0.1293768524","84.4649344352",,
"Suthmeresfelda (Canon’s Farm, Banstead)","51.3047869908","-0.2110603165","933",S 420,spurious,spurious,Chertsey abbey,community,,Chertsey,"1",Surrey,Kingston-on-Thames,,,Not found,,,,"51.6743611","-1.2821216","51.3047869908","-0.2110603165","84.9979317149",,
Sutton,,,"933",S 420,spurious,spurious,Chertsey abbey,community,,Chertsey,"1",Surrey,Kingston-on-Thames,"51.1967997","-0.6229249",Shire match,,,,"51.6743611","-1.2821216","51.1967997","-0.6229249","70.1724092197",,
Tadworth,,,"933",S 420,spurious,spurious,Chertsey abbey,community,,Chertsey,"1",Surrey,Kingston-on-Thames,"51.2912247","-0.2326709",Shire match,,,,"51.6743611","-1.2821216","51.2912247","-0.2326709","84.4483112855",,
Thorpe,,,"933",S 420,spurious,spurious,Chertsey abbey,community,,Chertsey,"1",Surrey,Kingston-on-Thames,"51.408913","-0.5329621",Shire match,,,,"51.6743611","-1.2821216","51.408913","-0.5329621","59.7790045777",,
Thunderfield,,,"933",S 420,spurious,spurious,Chertsey abbey,community,,Chertsey,"1",Surrey,Kingston-on-Thames,"51.1674651","-0.1419385",Shire match,,,,"51.6743611","-1.2821216","51.1674651","-0.1419385","97.3162331468",,
Tooting,"51.42902732","-0.1650462589","933",S 420,spurious,spurious,Chertsey abbey,community,,Chertsey,"1",Surrey,Kingston-on-Thames,,,Not found,,,,"51.6743611","-1.2821216","51.42902732","-0.1650462589","82.1487386859",,
Waddington,,,"933",S 420,spurious,spurious,Chertsey abbey,community,,Chertsey,"1",Surrey,Kingston-on-Thames,,,Not found,Based on Open Domesday https://opendomesday.org/place/TQ3158/waddington/,,,"51.6743611","-1.2821216","51.3594005988","-0.1388477761","86.7511225667",,
West Clandon,,,"933",S 420,spurious,spurious,Chertsey abbey,community,,Chertsey,"1",Surrey,Kingston-on-Thames,"51.2608611","-0.5103708",Shire match,,,,"51.6743611","-1.2821216","51.2608611","-0.5103708","70.6568591103",,
Weybridge,,,"933",S 420,spurious,spurious,Chertsey abbey,community,,Chertsey,"1",Surrey,Kingston-on-Thames,"51.3727175","-0.4549297",Shire match,,,,"51.6743611","-1.2821216","51.3727175","-0.4549297","66.499964698",,
White Waltham,,,"933",S 420,spurious,spurious,Chertsey abbey,community,,Chertsey,"1",Berkshire,Kingston-on-Thames,"51.4908971","-0.7683543",No shire match,,,,"51.6743611","-1.2821216","51.4908971","-0.7683543","41.0467597361",,
Woodham in Chertsey,"51.3447165604","-0.5125343016","933",S 420,spurious,spurious,Chertsey abbey,community,,Chertsey,"1",Surrey,Kingston-on-Thames,,,Not found,,,,"51.6743611","-1.2821216","51.3447165604","-0.5125343016","64.8052989889",,
Ewell,,,"933",S 420,spurious,spurious,Chertsey abbey,community,,Chertsey,"1",Surrey,Kingston-on-Thames,"51.3502402","-0.2511759",Shire match,,,,"51.6743611","-1.2821216","51.3502402","-0.2511759","80.1406292806",,
Bradford Abbas,"50.928","-2.588","933",S 422,authentic,authentic,Sherborne,community,,Sherborne,"1",Dorset,Chippenham,"50.9342937","-2.5918593",Shire match,,,,"51.4587621","-2.1159032","50.928","-2.588","67.6446577956",,
Stalbridge Weston,"50.94813167","-2.398086977","933",S 423,spurious (based on other document),likely spurious,Sherborne,community,,Sherborne,"1",Dorset,Chippenham,"50.9486252","-2.3996411",Shire match,,,,"51.4587621","-2.1159032","50.94813167","-2.398086977","60.1346092995",,
Derantune (? Durrington),"50.8375932898","-0.4266490572","934",S 425,authentic,authentic,Ælfwald 16,person,lay,"Canterbury, Christ Church","1",Sussex,Winchester,,,Not found,Quite unsure of this one,,,"51.0612766","-1.3131692","50.8375932898","-0.4266490572","67.0846248122",,
Kingtone (? Kington St Michael),"51.497","-2.143","934",S 426,authentic,authentic,Æthelhelm 17,person,lay,Glastonbury,"1",Wiltshire,Buckingham,,,Not found,,,,"51.9983175","-0.9786725","51.497","-2.143","97.8619826175",,
Ashmanworth,"51.3155765501","-1.404691826","934",S 427,disputed suspicious (and/or opinions vary),likely authentic,"Winchester, Old Minster",community,,"Winchester, Old Minster","1",Hampshire,Frome,,,Not found,"Based on Ashmansworth, Hampshire",,,"51.2294852","-2.3198467","51.3155765501","-1.404691826","64.5784527917",,
Chilbolton,,,"934",S 427,disputed suspicious (and/or opinions vary),likely authentic,"Winchester, Old Minster",community,,"Winchester, Old Minster","1",Hampshire,Frome,"51.13978","-1.4190758",Shire match,,,,"51.2294852","-2.3198467","51.13978","-1.4190758","63.7661121725",,
Enford,,,"934",S 427,disputed suspicious (and/or opinions vary),likely authentic,"Winchester, Old Minster",community,,"Winchester, Old Minster","1",Wiltshire,Frome,"51.2603232","-1.8055256",Shire match,,,,"51.2294852","-2.3198467","51.2603232","-1.8055256","36.0771731073",,
Cofton Hackett,,,"934",S 428,spurious,spurious,Worcester,community,,Worcester,"1",Worcestershire,London,"52.3776093","-1.9965531",Shire match,,,,"51.5140003762","-0.0981885391","52.3776093","-1.9965531","162.0785915933",,
Hopwood in Alvechurch,"52.3725879588","-1.9592761902","934",S 428,spurious,spurious,Worcester,community,,Worcester,"1",Worcestershire,London,,,Not found,,,,"51.5140003762","-0.0981885391","52.3725879588","-1.9592761902","159.6928447624",,
Rednal in Kings Norton,"52.3928099648","-2.0012289994","934",S 428,spurious,spurious,Worcester,community,,Worcester,"1",Worcestershire,London,,,Not found,,,,"51.5140003762","-0.0981885391","52.3928099648","-2.0012289994","163.3265488859",,
Wast Hills,,,"934",S 428,spurious,spurious,Worcester,community,,Worcester,"1",Worcestershire,London,"52.389624","-1.9487923",Shire match,,,,"51.5140003762","-0.0981885391","52.389624","-1.9487923","160.2417670409",,
Werstfelda,,,"934",S 428,spurious,spurious,Worcester,community,,Worcester,"1",Worcestershire,London,,,Not found,Don't know!,,,"51.5140003762","-0.0981885391",,,,,
Bremhill,,,"937",S 434,spurious (based on (some) genuine (earlier) material),likely spurious,Malmesbury,community,,Malmesbury,"1",Wiltshire,Dorchester,"51.4693457","-2.0454519",Shire match,,,,"50.7132064","-2.4371229","51.4693457","-2.0454519","88.482619189",,
Wootton Bassett,,,"937",S 435,spurious,spurious,Malmesbury,community,,Malmesbury,"1",Wiltshire,Dorchester,"51.5417946","-1.9047369",Shire match,,,,"50.7132064","-2.4371229","51.5417946","-1.9047369","99.4295394345",,
Bremhill,,,"937",S 436,spurious (based on (some) genuine (earlier) material),likely spurious,Malmesbury,community,,Malmesbury,"1",Wiltshire,Dorchester,"51.4693457","-2.0454519",Shire match,,,,"50.7132064","-2.4371229","51.4693457","-2.0454519","88.482619189",,
Ewen,,,"937",S 436,spurious (based on (some) genuine (earlier) material),likely spurious,Malmesbury,community,,Malmesbury,"1",Gloucestershire,Dorchester,"51.677278","-1.993704",Shire match,,,,"50.7132064","-2.4371229","51.677278","-1.993704","111.6433817316",,
Norton,,,"937",S 436,spurious (based on (some) genuine (earlier) material),likely spurious,Malmesbury,community,,Malmesbury,"1",Wiltshire,Dorchester,"51.5650551","-2.161818",Shire match,,,,"50.7132064","-2.4371229","51.5650551","-2.161818","96.7076526915",,
Sumerford (? Little Somerford),,,"937",S 436,spurious (based on (some) genuine (earlier) material),likely spurious,Malmesbury,community,,Malmesbury,"1",Wiltshire,Dorchester,,,Not found,,,,"50.7132064","-2.4371229",,,,,
Wootton Bassett,,,"937",S 436,spurious (based on (some) genuine (earlier) material),likely spurious,Malmesbury,community,,Malmesbury,"1",Wiltshire,Dorchester,"51.5417946","-1.9047369",Shire match,,,,"50.7132064","-2.4371229","51.5417946","-1.9047369","99.4295394345",,
Bosanketh,"50.0844509305","-5.6622440392","925",S 450,disputed suspicious (and/or opinions vary),likely authentic,Church of St Buryan,community,,Exeter,"1",Cornwall,Kingston-on-Thames,,,Not found,Little Bosanketh Farm,,,"51.6743611","-1.2821216","50.0844509305","-5.6622440392","355.3203918963",,
Bosliven,"50.0706498879","-5.6105655941","925",S 450,disputed suspicious (and/or opinions vary),likely authentic,Church of St Buryan,community,,Exeter,"1",Cornwall,Kingston-on-Thames,,,Not found,There is a Bosliven farm in Cornwall,,,"51.6743611","-1.2821216","50.0706498879","-5.6105655941","352.9839835852",,
Botilwoelon,,,"925",S 450,disputed suspicious (and/or opinions vary),likely authentic,Church of St Buryan,community,,Exeter,"1",Cornwall,Kingston-on-Thames,,,Not found,,,,"51.6743611","-1.2821216",,,,,
Burnewhall,,,"925",S 450,disputed suspicious (and/or opinions vary),likely authentic,Church of St Buryan,community,,Exeter,"1",Cornwall,Kingston-on-Thames,,,Not found,,,,"51.6743611","-1.2821216",,,,,
Pendrea,,,"925",S 450,disputed suspicious (and/or opinions vary),likely authentic,Church of St Buryan,community,,Exeter,"1",Cornwall,Kingston-on-Thames,"50.5282232","-4.6800605",Shire match,,,,"51.6743611","-1.2821216","50.5282232","-4.6800605","269.9727804869",,
Treikyn,,,"925",S 450,disputed suspicious (and/or opinions vary),likely authentic,Church of St Buryan,community,,Exeter,"1",Cornwall,Kingston-on-Thames,,,Not found,Cannot find a Treikyn in Cornwall,,,"51.6743611","-1.2821216",,,,,
Treverven,,,"925",S 450,disputed suspicious (and/or opinions vary),likely authentic,Church of St Buryan,community,,Exeter,"1",Cornwall,Kingston-on-Thames,"50.0573016","-5.6175537",Shire match,,,,"51.6743611","-1.2821216","50.0573016","-5.6175537","354.1968465102",,
Grittleton,,,"940",S 472,authentic,authentic,Wulfric 23,person,lay,Glastonbury,"1",Wiltshire,Colchester,"51.5175337","-2.2093908",Shire match,,,,"51.8896903","0.8994651","51.5175337","-2.2093908","218.8515717845",,
Langley,"51.492","-2.108","940",S 473,authentic,authentic,Wulfric 23,person,lay,Glastonbury,"1",Wiltshire,Chippenham,"51.4990873","-2.114639",Shire match,,,,"51.4587621","-2.1159032","51.492","-2.108","3.7385057237",,
Abbots Bromley,,,"942",S 479,probably authentic,likely authentic,Wulfsige 25,person,lay,Burton,"1",Staffordshire,Winchcombe,"52.8191473","-1.8808933",Shire match,,,,"51.9527513","-1.9675136","52.8191473","-1.8808933","96.5881278708",,
Branston,,,"942",S 479,probably authentic,likely authentic,Wulfsige 25,person,lay,Burton,"1",Staffordshire,Winchcombe,"52.7934552","-1.6683022",Shire match,,,,"51.9527513","-1.9675136","52.7934552","-1.6683022","95.7423734503",,
Clifton,,,"942",S 479,probably authentic,likely authentic,Wulfsige 25,person,lay,Burton,"1",Staffordshire,Winchcombe,"52.9837457","-1.9878022",Shire match,,,,"51.9527513","-1.9675136","52.9837457","-1.9878022","114.7334481587",,
Haunton,,,"942",S 479,probably authentic,likely authentic,Wulfsige 25,person,lay,Burton,"1",Staffordshire,Winchcombe,"52.6953683","-1.6497353",Shire match,,,,"51.9527513","-1.9675136","52.6953683","-1.6497353","85.4266040928",,
Kings Bromley,,,"942",S 479,probably authentic,likely authentic,Wulfsige 25,person,lay,Burton,"1",Staffordshire,Winchcombe,"52.7489467","-1.8210198",Shire match,,,,"51.9527513","-1.9675136","52.7489467","-1.8210198","89.1563604083",,
Rolleston,,,"942",S 479,probably authentic,likely authentic,Wulfsige 25,person,lay,Burton,"1",Staffordshire,Winchcombe,"52.8462987","-1.650868",Shire match,,,,"51.9527513","-1.9675136","52.8462987","-1.650868","101.7381958957",,
Stretton,,,"942",S 479,probably authentic,likely authentic,Wulfsige 25,person,lay,Burton,"1",Staffordshire,Winchcombe,"52.8339891","-1.6263284",Shire match,,,,"51.9527513","-1.9675136","52.8339891","-1.6263284","100.7723157198",,
Tatenhill,,,"942",S 479,probably authentic,likely authentic,Wulfsige 25,person,lay,Burton,"1",Staffordshire,Winchcombe,"52.8010891","-1.7346016",Shire match,,,,"51.9527513","-1.9675136","52.8010891","-1.7346016","95.7214806251",,
Tisted,"51.05745","-1.07035","941",S 511,disputed suspicious (and/or opinions vary),likely authentic,Æthelgeard 2,person,lay,"Winchester, Old Minster","1",Hampshire,Cheddar,"51.0811667","-0.9969444",Shire match,,,,"51.2753365","-2.7766545","51.05745","-1.07035","121.7834115587",,
Warkton,,,"946",S 520,authentic,authentic,Wulfric 25,person,lay,Worcester,"1",Northamptonshire,Kingston-on-Thames,"52.417541","-0.6602266",Shire match,,,,"51.6743611","-1.2821216","52.417541","-0.6602266","93.0500298538",,
Twickenham,,,"948",S 537,spurious,spurious,"Canterbury, Christ Church",community,,"Canterbury, Christ Church","1",Middlesex,Gadshill,,,Not found,,,,"52.2698549","-1.545795",,,,,
Suthtone (? Sutton Maddock),"52.6117723537","-2.4113616915","949",S 549,authentic,authentic,Ulfcytel 1,person,lay,Burton,"1",Shropshire,Somerton,,,Not found,,,,"51.06161","-2.7548573","52.6117723537","-2.4113616915","174.0945105642",,
Ciricdune (? at Chingford),"51.623","0.009","950",S 552a,authentic,authentic,Barking abbey,community,,Barking,"1",Essex,Abingdon,,,Not found,,,,"51.6714842","-1.2779715","51.623","0.009","89.241713145",,
Lippanwelle (? in Barnstaple hundred),"51.55","0.4","950",S 552a,authentic,authentic,Barking abbey,community,,Barking,"1",Essex,Abingdon,,,Not found,,,,"51.6714842","-1.2779715","51.55","0.4","117.0171577251",,
Rimpton,"51.080408309","-4.0606457661","956",S 571,spurious (based on other document),likely spurious,Beorhtric 8,community,,"Winchester, Old Minster","1",Somerset,Glastonbury,"50.9944264","-2.5628889",Shire match,,,,"51.14804","-2.716577","51.080408309","-4.0606457661","94.4175880002",,
Tadmarton,"52.04","-1.429","956",S 611,authentic,authentic,Byrhtnoth,person,lay,Abingdon,"1",Oxfordshire,Cheddar,"52.0309453","-1.4181502",Shire match,,,,"51.2753365","-2.7766545","52.04","-1.429","126.2310435309",,
Seacourt,,,"956",S 633,probably authentic,likely authentic,Abbingdon abbey,community,,Abingdon,"1",Berkshire,Cirencester,"51.5004962","-0.5358873",No shire match,,,,"51.7171029","-1.9661616","51.5004962","-0.5358873","101.9692043814",,
Wytham,"51.7754161225","-1.3119519484","956",S 633,probably authentic,likely authentic,Abbingdon abbey,community,,Abingdon,"1",Berkshire,Cirencester,,,Not found,,,,"51.7171029","-1.9661616","51.7754161225","-1.3119519484","45.6466918831",,
Ely,,,"957",S 646,authentic,authentic,Oda 1,person,ecclesiastic,Ely,"1",Cambridgeshire,Edington,"52.3990199","0.262039",Shire match,,,,"51.2784183236","-2.1070989986","52.3990199","0.262039","205.4329517614",,
Aston (? Aston Sutton),,,"958",S 667,authentic,authentic,"Chester, St Werburg",community,,"Chester, St Werburg","1",Cheshire,Penkridge,"53.3094911","-2.6883742",Shire match,,,,"52.7246633","-2.1127563","53.3094911","-2.6883742","75.6839402372",,
Barrow (? Great Barrow),,,"958",S 667,authentic,authentic,"Chester, St Werburg",community,,"Chester, St Werburg","1",Cheshire,Penkridge,"53.2094616","-2.7957028",Shire match,,,,"52.7246633","-2.1127563","53.2094616","-2.7957028","70.8248010365",,
Cheavely,"53.1498144938","-2.8680911732","958",S 667,authentic,authentic,"Chester, St Werburg",community,,"Chester, St Werburg","1",Cheshire,Penkridge,,,Not found,Placed at Cheavely Hall Farm,,,"52.7246633","-2.1127563","53.1498144938","-2.8680911732","69.4081818758",,
Hoseley,"53.0792200981","-2.943946321","958",S 667,authentic,authentic,"Chester, St Werburg",community,,"Chester, St Werburg","1",Cheshire,Penkridge,,,Not found,"Quite unsure, placed at Hoseley Bank Farm",,,"52.7246633","-2.1127563","53.0792200981","-2.943946321","68.4464051389",,
