Location,Estate Lat (WIP),Estate Lon (WIP),Year of issue,Diplomas,Diploma authenticity (as in Notion),Category of diploma authenticity (quadripartite simplification),Beneficiary,Beneficiary: commu or person,Beneficiary person: lay or ecclesiastic,Diploma preserved at (archive),Num diplomas,Shire,Promulgation site,Lat (comp.),Lon (comp.),Predicted accuracy,Notes,Archive Lat,Archive Lon,Prom Lat,Prom Lon,Estate Lat,Estate Lon,Distance between estate and promulgation site,Distance between estate and archive,Int Estate Promulgation Distance
Datchworth,,,"1066",S 1043,spurious,spurious,Westminster abbey,community,,Westminster,"1",Hertfordshire,Westminster,"51.8531384","-0.1586845",Shire match,,,,"51.5004439","-0.1265398","51.8531384","-0.1586845","39.3041570544",,
Deene,,,"1066",S 1043,spurious,spurious,Westminster abbey,community,,Westminster,"1",Northamptonshire,Westminster,"52.519851","-0.6209055",Shire match,,,,"51.5004439","-0.1265398","52.519851","-0.6209055","118.3963775576",,
Deerhurst,,,"1066",S 1043,spurious,spurious,Westminster abbey,community,,Westminster,"1",Gloucestershire,Westminster,"51.9528346","-2.186237",Shire match,,,,"51.5004439","-0.1265398","51.9528346","-2.186237","150.9482311305",,
Denham,,,"1066",S 1043,spurious,spurious,Westminster abbey,community,,Westminster,"1",Buckinghamshire,Westminster,"51.5729922","-0.4998008",Shire match,,,,"51.5004439","-0.1265398","51.5729922","-0.4998008","27.1272316871",,
Fanton (Hall) in North Benfleet,"51.594740704","0.5443288483","1066",S 1043,spurious,spurious,Westminster abbey,community,,Westminster,"1",Essex,Westminster,,,Not found,,,,"51.5004439","-0.1265398","51.594740704","0.5443288483","47.7046751365",,
Greenford,,,"1066",S 1043,spurious,spurious,Westminster abbey,community,,Westminster,"1",Middlesex,Westminster,"51.5485482","-0.3446914",No shire match,,,,"51.5004439","-0.1265398","51.5485482","-0.3446914","16.0585345538",,
Hampstead,"51.5555124108","-0.1807001213","1066",S 1043,spurious,spurious,Westminster abbey,community,,Westminster,"1",Middlesex,Westminster,,,Not found,,,,"51.5004439","-0.1265398","51.5555124108","-0.1807001213","7.1878561529",,
Hendon,"51.5847277585","-0.228208807","1066",S 1043,spurious,spurious,Westminster abbey,community,,Westminster,"1",Middlesex,Westminster,,,Not found,,,,"51.5004439","-0.1265398","51.5847277585","-0.228208807","11.7338751839",,
Holwell,,,"1066",S 1043,spurious,spurious,Westminster abbey,community,,Westminster,"1",Hertfordshire,Westminster,"51.985701","-0.3039795",Shire match,,,,"51.5004439","-0.1265398","51.985701","-0.3039795","55.3644099369",,
Islip,,,"1066",S 1043,spurious,spurious,Westminster abbey,community,,Westminster,"1",Oxfordshire,Westminster,"51.8231826","-1.2364036",Shire match,,,,"51.5004439","-0.1265398","51.8231826","-1.2364036","84.7753769603",,
Kelvedon,,,"1066",S 1043,spurious,spurious,Westminster abbey,community,,Westminster,"1",Essex,Westminster,"51.8391963","0.6852534",Shire match,,,,"51.5004439","-0.1265398","51.8391963","0.6852534","67.6355736304",,
Kelvedon Hatch,,,"1066",S 1043,spurious,spurious,Westminster abbey,community,,Westminster,"1",Essex,Westminster,"51.6660298","0.2744584",Shire match,,,,"51.5004439","-0.1265398","51.6660298","0.2744584","33.3459254491",,
Latchingdon,,,"1066",S 1043,spurious,spurious,Westminster abbey,community,,Westminster,"1",Essex,Westminster,"51.6597817","0.724805",Shire match,,,,"51.5004439","-0.1265398","51.6597817","0.724805","61.6189040618",,
Launton,,,"1066",S 1043,spurious,spurious,Westminster abbey,community,,Westminster,"1",Oxfordshire,Westminster,"51.8976897","-1.115968",Shire match,,,,"51.5004439","-0.1265398","51.8976897","-1.115968","81.4418417346",,
Lessness,,,"1066",S 1043,spurious,spurious,Westminster abbey,community,,Westminster,"1",Kent,Westminster,"51.4828537","0.1494032",Shire match,,,,"51.5004439","-0.1265398","51.4828537","0.1494032","19.2647771703",,
Leyton,,,"1066",S 1043,spurious,spurious,Westminster abbey,community,,Westminster,"1",Essex,Westminster,"51.816036","1.1578943",Shire match,,,,"51.5004439","-0.1265398","51.816036","1.1578943","95.5652361993",,
