Location,Estate Lat (WIP),Estate Lon (WIP),Year of issue,Diplomas,Num diplomas,Shire,Promulgation site,Lat (comp.),Lon (comp.),Predicted accuracy,Notes,Prom Lat,Prom Lon,Estate Lat,Estate Lon,Distance
Burhwarefelda,,,996,S 877,1,Kent,London,,,Not found,"Try 'Kentish Place-Names', Uppsala Universitets Årsskrift (1931)",51.4893335,-0.1440551,,,
Chalk,,,996,S 877,1,Kent,London,51.4321057,0.3993639,Shire match,,51.4893335,-0.1440551,51.4321057,0.3993639,38.3005555758894
Cofton Hackett,,,934,S 428,1,Worcestershire,London,52.3776093,-1.9965531,Shire match,,51.4893335,-0.1440551,52.3776093,-1.9965531,161.245109823022
Crowland,,,1032,S 965,1,Lincolnshire,London,52.6847789,-0.1578674,Shire match,,51.4893335,-0.1440551,52.6847789,-0.1578674,133.019379361624
Evegate,,,996,S 877,1,Kent,London,51.1133754,0.9541013,Shire match,,51.4893335,-0.1440551,51.1133754,0.9541013,87.2634888081165
Hopwood in Alvechurch,52.3725879588303,-1.95927619022992,934,S 428,1,Worcestershire,London,,,Not found,,51.4893335,-0.1440551,52.3725879588303,-1.95927619022992,158.886671433574
Nackington,,,996,S 877,1,Kent,London,51.2495575,1.0896208,Shire match,,51.4893335,-0.1440551,51.2495575,1.0896208,89.9566610556827
Rednal in Kings Norton,52.3928099648065,-2.00122899940588,934,S 428,1,Worcestershire,London,,,Not found,,51.4893335,-0.1440551,52.3928099648065,-2.00122899940588,162.522782828833
Wast Hills,,,934,S 428,1,Worcestershire,London,52.389624,-1.9487923,Shire match,,51.4893335,-0.1440551,52.389624,-1.9487923,159.485887055132
Werstfelda,,,934,S 428,1,Worcestershire,London,,,Not found,Don't know!,51.4893335,-0.1440551,,,
Wirigenn (? Perry),,,996,S 877,1,Kent,London,,,Not found,"Need to consult Robertson, Charters: Robertson, A. J., Anglo-Saxon Charters, 2nd edn (Cambridge, 1956) pp. 336-51",51.4893335,-0.1440551,,,
Earnley,,,930,S 403,1,Sussex,Lyminster,50.7615064,-0.8368306,Shire match,,50.8339978,-0.5475421,50.7615064,-0.8368306,21.9319281694647
Medmerry,,,930,S 403,1,Sussex,Lyminster,50.7352691,-0.8105161,Shire match,,50.8339978,-0.5475421,50.7352691,-0.8105161,21.5536664368519
Chelworth in Crudwell,51.6464748052428,-2.04474589753047,885,S 356,1,Wiltshire,Malmesbury,,,Not found,,51.58447,-2.0982042,51.6464748052428,-2.04474589753047,7.82956347612238
(West) Meon,,,932,S 417,1,Hampshire,Milton,51.0111638,-1.0839794,Shire match,,52.2422961,0.1604726,51.0111638,-1.0839794,161.823448734746
Stanton St Bernard,,,903,S 368,1,Wiltshire,Milton,51.3649969,-1.8630506,Shire match,,52.2422961,0.1604726,51.3649969,-1.8630506,170.313687951127
Amounderness,,,934,S 407,1,Lancashire,Nottingham,53.8100187,-2.7238423,Shire match,,52.9534193,-1.1496461,53.8100187,-2.7238423,141.633029262852
Aston (? Aston Sutton),,,958,S 667,1,Cheshire,Penkridge,53.3094911,-2.6883742,Shire match,,52.7246633,-2.1127563,53.3094911,-2.6883742,75.6839402372412
Barrow (? Great Barrow),,,958,S 667,1,Cheshire,Penkridge,53.2094616,-2.7957028,Shire match,,52.7246633,-2.1127563,53.2094616,-2.7957028,70.8248010365204
Cheavely,53.1498144938075,-2.8680911732311,958,S 667,1,Cheshire,Penkridge,,,Not found,Placed at Cheavely Hall Farm,52.7246633,-2.1127563,53.1498144938075,-2.8680911732311,69.4081818758321
Hoseley,53.0792200981437,-2.94394632098067,958,S 667,1,Cheshire,Penkridge,,,Not found,"Quite unsure, placed at Hoseley Bank Farm",52.7246633,-2.1127563,53.0792200981437,-2.94394632098067,68.4464051388999
Huntington,,,958,S 667,1,Cheshire,Penkridge,53.1634849,-2.8648306,Shire match,,52.7246633,-2.1127563,53.1634849,-2.8648306,70.2904227956628
Upton,,,958,S 667,1,Cheshire,Penkridge,53.2116132,-2.8856715,Shire match,,52.7246633,-2.1127563,53.2116132,-2.8856715,75.0544330503625
Hypeles eald land (Treable in Cheriton Bishop),50.7219418768027,-3.81486496005682,976,S 830,1,Devonshire,Puddletown,,,Not found,"Quite unsure, placed at the end of Treable Lane",50.7489205,-2.3468411,50.7219418768027,-3.81486496005682,103.678560876541
Caughley in Barrow,52.6019997292052,-2.49057073276089,901,S 221,1,Shropshire,Shrewsbury,,,Not found,"Quite unsure, placed between Caughley Close and Church of St Giles, Barrow",52.707755,-2.7540658,52.6019997292052,-2.49057073276089,21.3644972724413
Easthope,,,901,S 221,1,Shropshire,Shrewsbury,52.5535522,-2.640828,Shire match,,52.707755,-2.7540658,52.5535522,-2.640828,18.7945935641102
Patton,,,901,S 221,1,Shropshire,Shrewsbury,52.5514734,-2.6131182,Shire match,,52.707755,-2.7540658,52.5514734,-2.6131182,19.8374315563393
Stanton Long,,,901,S 221,1,Shropshire,Shrewsbury,52.5119182,-2.6309747,Shire match,,52.707755,-2.7540658,52.5119182,-2.6309747,23.333239853963
Suthtone (? Sutton Maddock),52.6117723536974,-2.41136169154501,949,S 549,1,Shropshire,Somerton,,,Not found,,51.06161,-2.7548573,52.6117723536974,-2.41136169154501,174.094510564156
Hardwell in Compton Beauchamp,51.5795932181638,-1.5932423455011,903,S 369,1,Berkshire,Southampton,,,Not found,,50.9025349,-1.404189,51.5795932181638,-1.5932423455011,76.472846345269
Worthy,,,900,S 360,1,Hampshire,Southampton,51.1033985,-1.3008489,Shire match,,50.9025349,-1.404189,51.1033985,-1.3008489,23.4935956111822
Farnborough,,,1042,S 993,1,Berkshire,Sutton Courtenay,51.5367279,-1.3748299,Shire match,,51.6397508,-1.2777309,51.5367279,-1.3748299,13.2917619211587
Downton,50.993,-1.743,"997, 1051",S 891,1,Wiltshire,"Wantage, Calne",50.9927562,-1.7517519,Shire match,,missing value,missing value,50.993,-1.743,
Ebbesborne,51.017,-2.013,997, S 891,1,Wiltshire,"Wantage, Calne",51.0074719,-2.0135706,Shire match,,missing value,missing value,51.017,-2.013,
Farnborough,51.2998205472259,-0.760720089598009,915,S 225,1,"Berkshire, Warwickshire",Weardburg,,,Not found,,missing value,missing value,51.2998205472259,-0.760720089598009,
Aldenham,,,1066,S 1043,1,Hertfordshire,Westminster,51.6735426,-0.3520014,Shire match,,51.5004439,-0.1265398,51.6735426,-0.3520014,24.8009195328193
Amersham,,,1066,S 1043,1,Buckinghamshire,Westminster,51.676685,-0.607692,Shire match,,51.5004439,-0.1265398,51.676685,-0.607692,38.6844138955394
Ashwell,,,1066,S 1043,1,Hertfordshire,Westminster,52.0402221,-0.1550213,Shire match,,51.5004439,-0.1265398,52.0402221,-0.1550213,60.0895033842304
Ayot (St Lawrence),,,1066,S 1043,1,Hertfordshire,Westminster,51.8350966,-0.2580284,Shire match,,51.5004439,-0.1265398,51.8350966,-0.2580284,38.3289909749289
Brickendon,,,998,S 894,1,Hertfordshire,Westminster,51.7553812,-0.0849622,Shire match,,51.5004439,-0.1265398,51.7553812,-0.0849622,28.5101357255013
Chollington in Eastbourne,50.7934231344691,0.289955440286104,1066,S 1043,1,Sussex,Westminster,,,Not found,"Quite unsure, based on Eastbourne",51.5004439,-0.1265398,50.7934231344691,0.289955440286104,83.8822920359727
Claygate,,,1066,S 1043,1,Surrey,Westminster,51.3602657,-0.3375054,Shire match,,51.5004439,-0.1265398,51.3602657,-0.3375054,21.4123848954048
Cowley Peachey,51.5209716608662,-0.480658695199349,998,S 894,1,Middlesex,Westminster,,,Not found,,51.5004439,-0.1265398,51.5209716608662,-0.480658695199349,24.6902691269549
Datchworth,,,1066,S 1043,1,Hertfordshire,Westminster,51.8531384,-0.1586845,Shire match,,51.5004439,-0.1265398,51.8531384,-0.1586845,39.3041570544176
Deene,,,1066,S 1043,1,Northamptonshire,Westminster,52.519851,-0.6209055,Shire match,,51.5004439,-0.1265398,52.519851,-0.6209055,118.396377557614
Deerhurst,,,1066,S 1043,1,Gloucestershire,Westminster,51.9528346,-2.186237,Shire match,,51.5004439,-0.1265398,51.9528346,-2.186237,150.948231130494
Denham,,,1066,S 1043,1,Buckinghamshire,Westminster,51.5729922,-0.4998008,Shire match,,51.5004439,-0.1265398,51.5729922,-0.4998008,27.1272316871162
Fanton (Hall) in North Benfleet,51.5947407040119,0.544328848311201,1066,S 1043,1,Essex,Westminster,,,Not found,,51.5004439,-0.1265398,51.5947407040119,0.544328848311201,47.704675136536
Greenford,,,1066,S 1043,1,Middlesex,Westminster,51.5485482,-0.3446914,No shire match,,51.5004439,-0.1265398,51.5485482,-0.3446914,16.0585345538259
Hampstead,51.5555124108486,-0.180700121264648,998,S 894,1,Middlesex,Westminster,,,Not found,,51.5004439,-0.1265398,51.5555124108486,-0.180700121264648,7.18785615287356
Hampstead,51.5555124108486,-0.180700121264648,1066,S 1043,1,Middlesex,Westminster,,,Not found,,51.5004439,-0.1265398,51.5555124108486,-0.180700121264648,7.18785615287356
Hanwell,51.5086501372808,-0.337417882145305,998,S 894,1,Hertfordshire,Westminster,,,Not found,"Now in London, not found in Hertfordshire",51.5004439,-0.1265398,51.5086501372808,-0.337417882145305,14.6704585165427
Hendon,51.5847277584855,-0.228208807008072,998,S 894,1,Middlesex,Westminster,,,Not found,,51.5004439,-0.1265398,51.5847277584855,-0.228208807008072,11.7338751839048
Hendon,51.5847277584855,-0.228208807008072,1066,S 1043,1,Middlesex,Westminster,,,Not found,,51.5004439,-0.1265398,51.5847277584855,-0.228208807008072,11.7338751839048
Holwell,,,1066,S 1043,1,Hertfordshire,Westminster,51.985701,-0.3039795,Shire match,,51.5004439,-0.1265398,51.985701,-0.3039795,55.3644099368895
Islip,,,1066,S 1043,1,Oxfordshire,Westminster,51.8231826,-1.2364036,Shire match,,51.5004439,-0.1265398,51.8231826,-1.2364036,84.7753769602539
Kelvedon,,,1066,S 1043,1,Essex,Westminster,51.8391963,0.6852534,Shire match,,51.5004439,-0.1265398,51.8391963,0.6852534,67.635573630421
Kelvedon Hatch,,,1066,S 1043,1,Essex,Westminster,51.6660298,0.2744584,Shire match,,51.5004439,-0.1265398,51.6660298,0.2744584,33.3459254490721
Latchingdon,,,1066,S 1043,1,Essex,Westminster,51.6597817,0.724805,Shire match,,51.5004439,-0.1265398,51.6597817,0.724805,61.6189040618039
Launton,,,1066,S 1043,1,Oxfordshire,Westminster,51.8976897,-1.115968,Shire match,,51.5004439,-0.1265398,51.8976897,-1.115968,81.4418417346338
Lessness,,,1066,S 1043,1,Kent,Westminster,51.4828537,0.1494032,Shire match,,51.5004439,-0.1265398,51.4828537,0.1494032,19.2647771703279
Leyton,,,1066,S 1043,1,Essex,Westminster,51.816036,1.1578943,Shire match,,51.5004439,-0.1265398,51.816036,1.1578943,95.5652361993481
"Lothereslege (lost,  in Hendon)",51.5847277584855,-0.228208807008072,998,S 894,1,Middlesex,Westminster,,,Not found,Based on Hendon,51.5004439,-0.1265398,51.5847277584855,-0.228208807008072,11.7338751839048
Mapulderforde (? Maplestead),51.9801700248421,0.631507978379611,1066,S 1043,1,Essex,Westminster,,,Not found,C12 church with framgentary AS stonework https://historicengland.org.uk/listing/the-list/list-entry/1337989?section=official-list-entry,51.5004439,-0.1265398,51.9801700248421,0.631507978379611,74.770289864655
Morden,,,1066,S 1043,1,Surrey,Westminster,51.3026901,-0.2280833,Shire match,,51.5004439,-0.1265398,51.3026901,-0.2280833,23.1082356756608
Moulsham,,,1066,S 1043,1,Essex,Westminster,51.7265808,0.4712557,Shire match,,51.5004439,-0.1265398,51.7265808,0.4712557,48.4523191773217
Paddington,51.5173388056157,-0.174565254309231,998,S 894,1,Middlesex,Westminster,,,Not found,,51.5004439,-0.1265398,51.5173388056157,-0.174565254309231,3.82760487283099
Paglesham,,,1066,S 1043,1,Essex,Westminster,51.5996413,0.7958937,Shire match,,51.5004439,-0.1265398,51.5996413,0.7958937,64.9284918340624
Parham,,,1066,S 1043,1,Sussex,Westminster,50.9194442,-0.5010893,Shire match,,51.5004439,-0.1265398,50.9194442,-0.5010893,69.735493775342
Pershore,,,1066,S 1043,1,Worcestershire,Westminster,52.1096993,-2.0754758,Shire match,,51.5004439,-0.1265398,52.1096993,-2.0754758,150.547217318661
Perton,,,1066,S 1043,1,Staffordshire,Westminster,52.5957196,-2.2033801,Shire match,,51.5004439,-0.1265398,52.5957196,-2.2033801,187.477376845273
Rayne,,,1066,S 1043,1,Essex,Westminster,51.8879146,0.4944322,Shire match,,51.5004439,-0.1265398,51.8879146,0.4944322,60.8446145716305
Rutland (shire),52.6583601787799,-0.706220337511871,1066,S 1043,1,Rutland,Westminster,,,Not found,Norman church https://historicengland.org.uk/listing/heritage-at-risk/search-register/list-entry/21021,51.5004439,-0.1265398,52.6583601787799,-0.706220337511871,134.828613907574
Shepperton,51.3958628572935,-0.448657881693665,998,S 894,1,Middlesex,Westminster,,,Not found,,51.5004439,-0.1265398,51.3958628572935,-0.448657881693665,25.2357885936862
Shepperton,51.3958628572935,-0.448657881693665,1066,S 1043,1,Middlesex,Westminster,,,Not found,,51.5004439,-0.1265398,51.3958628572935,-0.448657881693665,25.2357885936862
Staines,51.4335869171108,-0.512757986113182,1066,S 1043,1,Middlesex,Westminster,,,Not found,Presumably Staines-upon-Thames,51.5004439,-0.1265398,51.4335869171108,-0.512757986113182,27.8502065486527
Stevenage,,,1066,S 1043,1,Hertfordshire,Westminster,51.9016663,-0.2027155,Shire match,,51.5004439,-0.1265398,51.9016663,-0.2027155,44.950235182536
Sudborough,,,1066,S 1043,1,Northamptonshire,Westminster,52.4361016,-0.5857794,Shire match,,51.5004439,-0.1265398,52.4361016,-0.5857794,108.786085642051
Sullington,,,998,S 894,1,Sussex,Westminster,50.9073361,-0.4380748,Shire match,,51.5004439,-0.1265398,50.9073361,-0.4380748,69.4838083172959
Sunbury,51.418425405523,-0.418716863744567,1066,S 1043,1,Middlesex,Westminster,,,Not found,"Sunbury on Thames, presumably",51.5004439,-0.1265398,51.418425405523,-0.418716863744567,22.2629442070065
Wanstead,51.5773526576279,0.0240995575939175,1066,S 1043,1,Essex,Westminster,,,Not found,,51.5004439,-0.1265398,51.5773526576279,0.0240995575939175,13.507525853114
Watton-at-Stone,,,1066,S 1043,1,Hertfordshire,Westminster,51.8585119,-0.1165373,Shire match,,51.5004439,-0.1265398,51.8585119,-0.1165373,39.8451015884274
Weedon,,,1066,S 1043,1,Buckinghamshire,Westminster,51.8559075,-0.8191189,Shire match,,51.5004439,-0.1265398,51.8559075,-0.8191189,62.1208898920205
Wennington,,,1066,S 1043,1,Essex,Westminster,51.5065473,0.2171623,Shire match,,51.5004439,-0.1265398,51.5065473,0.2171623,23.8746624166562
West Chiltington,,,1066,S 1043,1,Sussex,Westminster,50.9558921,-0.44852,Shire match,,51.5004439,-0.1265398,50.9558921,-0.44852,64.6228416895944
Westminster (town),51.4977204626379,-0.135190710466981,998,S 894,1,Middlesex,Westminster,,,Not found,,51.5004439,-0.1265398,51.4977204626379,-0.135190710466981,0.672825897775395
Westminster (town),51.4977204626379,-0.135190710466981,1066,S 1043,1,Middlesex,Westminster,,,Not found,,51.5004439,-0.1265398,51.4977204626379,-0.135190710466981,0.672825897775395
Wheathampstead,,,1066,S 1043,1,Hertfordshire,Westminster,51.8126524,-0.2936637,Shire match,,51.5004439,-0.1265398,51.8126524,-0.2936637,36.6112720043033
Windsor,,,1066,S 1043,1,Berkshire,Westminster,51.4837886,-0.6040419,No shire match,,51.5004439,-0.1265398,51.4837886,-0.6040419,33.2153826019739
Wormley,,,1066,S 1043,1,Hertfordshire,Westminster,51.7328989,-0.0244303,Shire match,,51.5004439,-0.1265398,51.7328989,-0.0244303,26.8125197385916
Collingbourne,,,933,S 379,1,Wiltshire,Wilton,51.2759545,-1.6369214,Shire match,,51.0805315,-1.8607051,51.2759545,-1.6369214,26.7873380968811
Abbots Bromley,,,942,S 479,1,Staffordshire,Winchcombe,52.8191473,-1.8808933,Shire match,,51.9527513,-1.9675136,52.8191473,-1.8808933,96.5881278707839
Branston,,,942,S 479,1,Staffordshire,Winchcombe,52.7934552,-1.6683022,Shire match,,51.9527513,-1.9675136,52.7934552,-1.6683022,95.742373450331
Clifton,,,942,S 479,1,Staffordshire,Winchcombe,52.9837457,-1.9878022,Shire match,,51.9527513,-1.9675136,52.9837457,-1.9878022,114.733448158695
Haunton,,,942,S 479,1,Staffordshire,Winchcombe,52.6953683,-1.6497353,Shire match,,51.9527513,-1.9675136,52.6953683,-1.6497353,85.4266040928035
Kings Bromley,,,942,S 479,1,Staffordshire,Winchcombe,52.7489467,-1.8210198,Shire match,,51.9527513,-1.9675136,52.7489467,-1.8210198,89.156360408298
Rolleston,,,942,S 479,1,Staffordshire,Winchcombe,52.8462987,-1.650868,Shire match,,51.9527513,-1.9675136,52.8462987,-1.650868,101.73819589573
Stretton,,,942,S 479,1,Staffordshire,Winchcombe,52.8339891,-1.6263284,Shire match,,51.9527513,-1.9675136,52.8339891,-1.6263284,100.772315719775
Tatenhill,,,942,S 479,1,Staffordshire,Winchcombe,52.8010891,-1.7346016,Shire match,,51.9527513,-1.9675136,52.8010891,-1.7346016,95.7214806251066
Derantune (? Durrington),50.8375932898092,-0.426649057247506,934,S 425,1,Sussex,Winchester,,,Not found,Quite unsure of this one,51.0612766,-1.3131692,50.8375932898092,-0.426649057247506,67.0846248122301
Hurstbourne Priors,,,900,S 358,1,Hampshire,Winchester,51.2159726,-1.3754484,Shire match,,51.0612766,-1.3131692,51.2159726,-1.3754484,17.7534741293595
Sparcells in Lydiard Millicent,51.578686345954,-1.82991956890297,900,S 359,1,Wiltshire,Winchester,,,Not found,,51.0612766,-1.3131692,51.578686345954,-1.82991956890297,67.9068695493549
Stoke by Hurstbourne,51.2647342191483,-1.42406985413766,900,S 359,1,Hampshire,Winchester,,,Not found,,51.0612766,-1.3131692,51.2647342191483,-1.42406985413766,23.9274236122244
Chisledon,51.518271953123,-1.73167165232962,900,S 359,1,Wiltshire,Winchester,,,Not found,Anglo-Saxon church https://historicengland.org.uk/listing/the-list/list-entry/1023312?section=official-list-entry,51.0612766,-1.3131692,51.518271953123,-1.73167165232962,58.6280666519567
Chisledon,51.518271953123,-1.73167165232962,901,S 366,1,Wiltshire,Southampton,,,Not found,Anglo-Saxon church https://historicengland.org.uk/listing/the-list/list-entry/1023312?section=official-list-entry,50.9025349,-1.404189,51.518271953123,-1.73167165232962,72.223351859699
(Bishops) Lydeard,,,1065,S 1042,1,Somerset,Windsor,51.0576845,-3.1873724,Shire match,,51.4837886,-0.6040419,51.0576845,-3.1873724,186.403520879454
(East) Wanstrow,51.1736498261318,-2.41426309247568,1065,S 1042,1,Somerset,Windsor,,,Not found,,51.4837886,-0.6040419,51.1736498261318,-2.41426309247568,130.802243467039
Binegar,,,1065,S 1042,1,Somerset,Windsor,51.2427853,-2.5514413,Shire match,,51.4837886,-0.6040419,51.2427853,-2.5514413,138.253041711537
Bleadney,,,1065,S 1042,1,Somerset,Windsor,51.203451,-2.7378454,Shire match,,51.4837886,-0.6040419,51.203451,-2.7378454,151.909086089091
Chew Magna,,,1065,S 1042,1,Somerset,Windsor,51.3660251,-2.6089889,Shire match,,51.4837886,-0.6040419,51.3660251,-2.6089889,140.06289091027
Combe St Nicholas,,,1065,S 1042,1,Somerset,Windsor,50.8973646,-2.9947914,Shire match,,51.4837886,-0.6040419,50.8973646,-2.9947914,179.407840385353
Congresbury,,,1065,S 1042,1,Somerset,Windsor,51.3720095,-2.8055631,Shire match,,51.4837886,-0.6040419,51.3720095,-2.8055631,153.614196290514
Evercreech,,,1065,S 1042,1,Somerset,Windsor,51.1520665,-2.5084975,Shire match,,51.4837886,-0.6040419,51.1520665,-2.5084975,137.801764478063
Kingsbury,,,1065,S 1042,1,Somerset,Windsor,50.9864772,-2.8072967,Shire match,,51.4837886,-0.6040419,50.9864772,-2.8072967,163.516511847047
Litton,,,1065,S 1042,1,Somerset,Windsor,51.2900131,-2.5820639,Shire match,,51.4837886,-0.6040419,51.2900131,-2.5820639,139.367557717529
Wedmore,,,1065,S 1042,1,Somerset,Windsor,51.2255001,-2.8114392,Shire match,,51.4837886,-0.6040419,51.2255001,-2.8114392,156.425462619487
Wells,,,1065,S 1042,1,Somerset,Windsor,51.2094511,-2.6451203,Shire match,,51.4837886,-0.6040419,51.2094511,-2.6451203,145.441972543802
Westbury,,,1065,S 1042,1,Somerset,Windsor,51.2386997,-2.7194147,Shire match,,51.4837886,-0.6040419,51.2386997,-2.7194147,149.834455673915
Winsham,,,1065,S 1042,1,Somerset,Windsor,50.8638639,-2.8790331,Shire match,,51.4837886,-0.6040419,50.8638639,-2.8790331,173.396806602481
Withycombe,,,1065,S 1042,1,Somerset,Windsor,51.1490711,-3.4234301,Shire match,,51.4837886,-0.6040419,51.1490711,-3.4234301,200.048138721613
Armingford,,,970,S 776,1,Cambridgeshire,Woolmer,52.0862689,0.0284027,Shire match,,51.0937792,-0.7481479,52.0862689,0.0284027,122.838737623249
Armingford,,,970,S 779,1,Cambridgeshire,Woolmer,52.0862689,0.0284027,Shire match,,51.0937792,-0.7481479,52.0862689,0.0284027,122.838737623249
Farleigh,,,898,S 350,1,Kent,Woolmer,51.4073813,0.8506409,Shire match,,51.0937792,-0.7481479,51.4073813,0.8506409,116.948174934471
Melbourn,,,970,S 776,1,Cambridgeshire,Woolmer,52.0817224,0.0186616,Shire match,,51.0937792,-0.7481479,52.0817224,0.0186616,122.090036580701
Melbourn,,,970,S 779,1,Cambridgeshire,Woolmer,52.0817224,0.0186616,Shire match,,51.0937792,-0.7481479,52.0817224,0.0186616,122.090036580701
Northwold,,,970,S 779,1,Norfolk,Woolmer,52.5431885,0.5773957,Shire match,,51.0937792,-0.7481479,52.5431885,0.5773957,185.361176804337
Ely,,,957,S 646,1,Cambridgeshire,Edington,52.3990199,0.262039,Shire match,,51.2784183236282,-2.1070989986437,52.3990199,0.262039,205.43295176144
Ely,,,970,S 776,1,Cambridgeshire,Woolmer,52.3990199,0.262039,Shire match,,51.0937792,-0.7481479,52.3990199,0.262039,161.110278282877
Watchfield,51.6121811699359,-1.64059343718275,931,S 413,1,Berkshire,Worthy,,,Not found,,51.1033985,-1.3008489,51.6121811699359,-1.64059343718275,61.3524069574376
